W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
300,398.769718124363,26967.01392112,89.8137533795954,29.9689428207929,4.50985827712658,20.6029591323134,26.5006057782603,0.564645137304285,20.4209945021142,4667016.34931908,5602660.68345628,3833399.4149964,1769261.26845988,0.1,0.1,0.3,0.3,3307753.77720606,23547.7107699483,3798.52226963146,2420.77711531044,1466.94561099701,1064.31826584316,1807.2768729973,191.601667093953,1034.07022616738,8269.38444301515,629.303151171644,786.628938964555,293.103316519428,2790,38.5887913302186,1768.61239553682,1653.87688860303,674.631829874829,926.206480201391
300,398.769718124363,23163.0418520297,77.1438397194094,27.7747798766092,4.20993957946105,16.3020041886981,21.1203429977337,0.564645137304285,20.0480100078152,4008646.2002993,4812300.36050337,3292626.56244967,1519673.79805369,0.1,0.2,0.3,0.3,2403424.37959798,19696.4580315879,3100.75930716709,2420.77711531044,1165.38167859234,914.173157440752,1565.81433493683,178.168695883002,862.970094418366,6008.56094899496,676.583820441781,845.729775552227,379.468351682255,2790,33.9332829700647,1761.09747483463,1201.71218979899,611.995547123949,1199.11999131593
300,398.769718124363,20301.6043847277,67.6088106391255,26.0016942984732,3.9679493202366,13.3082789043348,17.3588556526583,0.564645137304285,19.6679155691484,3513174.90626665,4217496.88627449,2885655.76429307,1331841.12198142,0.1,0.3,0.3,0.3,1726412.92017399,16799.2131160309,2548.84244106236,2420.77711531044,954.701600983407,801.178735884155,1382.76989669557,167.279598896721,739.03685408868,4316.03230043496,712.391268696856,890.48908587107,444.493188010347,2790,30.3208995064113,1754.66404422709,863.206460086993,563.680986291225,1404.5984741127
300,398.769718124363,18162.1288589855,60.4822587662729,24.5931410694675,3.77600473072387,11.2176874912282,14.7216536173974,0.564645137304285,19.3047899847926,3142855.96453061,3772936.33196952,2581482.75345283,1191453.57851669,0.1,0.4,0.3,0.3,1204093.39600725,14628.0016907662,2159.66667671672,2420.77711531044,807.321034399388,716.726234437778,1245.08689242869,158.605991025888,649.403106340935,3010.23349001812,744.127168219267,930.158960274083,497.769033847257,2790,27.5423083987106,1750.7159827858,602.046698003624,526.722792848032,1572.95014695733
300,398.769718124363,16473.6412021699,54.8421148776238,23.4183933858888,3.61616186231386,9.65543090048019,12.7437473847602,0.564645137304285,18.955826928235,2849775.64274977,3421099.21098411,2340752.09172597,1080347.11925814,0.1,0.5,0.3,0.3,783070.772654446,12912.0409758816,1866.73465850662,2420.77711531044,696.407977401103,649.888490226207,1135.5115310387,151.35542356672,580.165816843947,1957.67693163611,771.600226288257,964.500282860322,542.14256727817,2790,25.2946192068274,1747.91254609347,391.535386327223,496.998633376958,1713.17051259902
300,398.769718124363,24939.9660506486,83.0646962206641,28.8209465876234,4.35288276603991,18.2699250959696,23.5852359987726,0.564645137304285,20.2374653919943,4316313.26746372,5181648.58038862,3545338.50237116,1636310.07801746,0.3,0.1,0.3,0.3,2812555.86590646,21493.1149126077,3460.56814414143,2420.77711531044,1303.61057148777,984.3382807278,1678.88456197384,184.579081685314,942.126968692175,7031.38966476614,656.851138040847,821.063922551059,341.416097777346,2790,36.1248003937407,1765.43708158513,1406.27793295323,641.431620479583,1078.87486897641
300,398.769718124363,21559.0186028634,71.7918296624269,26.7939973991241,4.07603622000287,14.5941374801496,18.9763938767058,0.564645137304285,19.8481311535791,3730538.25471453,4478437.28056966,3064193.92881082,1414243.35175884,0.3,0.2,0.3,0.3,2027783.43174897,18074.471446327,2786.77079958021,2420.77711531044,1045.02778862407,850.749339361935,1463.225564984,172.149300904011,792.782897183823,5069.45857937243,694.547156536403,868.183945670504,413.934297358577,2790,31.9228122086786,1756.98559299512,1013.89171587449,585.076936464868,1308.0323796531
300,398.769718124363,19123.5673372023,63.6876682843394,25.2364158081807,3.86362830639866,12.1421609798871,15.8890664199497,0.564645137304285,19.4776528807914,3309419.52594701,3972892.58817168,2718294.92874904,1254597.65942264,0.3,0.3,0.3,0.3,1440618.1363757,15604.9313949649,2332.1939272094,2420.77711531044,872.629016666596,754.711584994753,1307.11475513293,162.569795624509,689.42743416735,3601.54534093926,728.635942237399,910.794927796749,472.6435307381,2790,28.800996951569,1752.19576643432,720.309068187851,543.437367182779,1493.5535571324
300,398.769718124363,17240.7680608805,57.4085378569926,23.9600788514964,3.68983686851898,10.3560181866477,13.6315881643644,0.564645137304285,19.1221096623613,2983135.3738965,3581194.92664646,2450291.26560021,1130903.66104625,0.3,0.4,0.3,0.3,975449.477583056,13692.5727911108,1998.36222679261,2420.77711531044,746.311747266589,680.301505663177,1185.44282987023,154.700658830506,611.502972930109,2438.62369395764,758.195269769651,947.744087212064,521.085066269203,2790,26.3232657396326,1748.96138458416,487.724738791528,510.578853686072,1646.62880941068
300,398.769718124363,15739.982507383,52.4196488620001,22.8953377048691,3.54507314337458,9.01147266336531,11.9263800699267,0.564645137304285,18.782017314119,2723896.38623097,3269983.65693994,2237357.23895891,1032626.41798103,0.3,0.5,0.3,0.3,595238.789910483,12165.1040318796,1745.15124004889,2420.77711531044,651.584861750026,621.181453355926,1088.2649848577,148.122006452049,551.264055383933,1488.09697477621,784.878475503379,981.098094379223,562.583477735336,2790,24.3037049061415,1746.92293812386,297.619394955241,483.924752322084,1777.76378964366
