W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
300,398.7697181,24171.54223,80.50305807,29.75791725,3.996490487,16.10061161,24.15091742,0.564645137,0.027048391,0.017558633,0.009489758,20.87536882,4183202.172,5021851.347,3515295.943,1585847.794,0.1,0.1,0.3,0.3,2108329.116,19806.79208,3840.489691,2185.311504,1255.795886,953.9815551,1659.167021,190.3116713,911.4410907,4891.817139,644.7501447,805.9376808,195.0689042,3720,28.19265948,1818.440216,1054.164558,660.5050682,0.291407692,0.588633029,616.4177373
325,398.7697181,23608.74501,72.59347686,28.25824208,3.816956324,14.51869537,21.77804306,0.611698899,0.029580618,0.018443333,0.011137286,20.67904365,4687932.474,5627770.076,3376662.046,2369587.401,0.3,0.1,0.1,0.4,2057527.066,19235.59196,3555.169403,2185.311504,1132.41151,931.9381481,1742.529752,181.1324069,823.8957248,4773.944487,653.1530456,816.441307,198.0958634,3720,27.56714597,1814.787508,1028.763533,655.1694349,0.290351085,0.579638555,625.9829283
280,398.7697181,23459.87967,83.86956705,30.37375903,4.070287189,16.77391341,25.16087012,0.527002128,0.025387477,0.017120843,0.008266634,20.7583502,3617474.091,4342705.992,2605623.595,1828507.786,0.1,0.2,0.3,0.4,2006745.995,19109.61765,3601.211962,2185.311504,1308.311259,927.6166211,1365.91616,194.0751856,948.7025148,4656.120516,630.2620186,787.8275232,201.8053911,3720,27.13681989,1814.965356,1003.372998,645.6189213,0.289249299,0.568983808,637.7050359
325,398.7697181,23280.22632,71.55846067,28.05607006,3.792773699,14.31169213,21.4675382,0.611698899,0.029662411,0.018525126,0.011137286,20.62202198,4621093.328,5547531.006,3328518.603,2335802.529,0.1,0.2,0.1,0.4,1974573.948,18900.94956,3479.712735,2185.311504,1116.265924,918.6505788,1719.161355,179.8933294,812.4398881,4581.473834,659.2767628,824.0959535,209.5811058,3720,27.21221692,1816.478722,987.2869739,649.161981,0.289843698,0.547873815,662.2762945
350,398.7697181,23369.33203,66.7016547,27.08723319,3.676962095,13.34033094,20.01049641,0.65875266,0.032227454,0.019310839,0.012916615,20.44072916,5273587.296,6330837.09,3798502.254,2665615.617,0.1,0.1,0.3,0.4,2016441.412,18972.18287,3363.967165,2185.311504,1040.502877,922.1693608,1946.565303,173.9499888,758.6834572,4678.616153,677.1491591,846.4364489,210.7844359,3720,27.46732515,1817.722251,1008.220706,654.558324,0.290624235,0.544746103,666.0788174
300,398.7697181,23356.57622,77.8057098,29.25513302,3.936271023,15.56114196,23.34171294,0.564645137,0.027227174,0.017737416,0.009489758,20.73829409,4043039.134,4853588.397,2912153.038,2043616.167,0.3,0.1,0.3,0.4,1945640.918,18986.50066,3650.716978,2185.311504,1213.718989,922.0166394,1516.276959,187.2365321,881.5861167,4514.342431,650.0755531,812.5944414,213.0264409,3720,27.13446013,1818.495635,972.820459,646.6347519,0.289783708,0.539012901,673.1635534
325,398.7697181,23404.30717,71.93664067,28.13010927,3.801629231,14.38732813,21.5809922,0.611698899,0.029632275,0.018494989,0.011137286,20.64299468,4645515.389,5576849.206,3903794.444,1761110.276,0.1,0.1,0.3,0.3,1957238.279,19015.72441,3506.38205,2185.311504,1122.165289,923.5056643,1831.649573,180.3471484,816.6256858,4541.251023,668.5827536,835.728442,216.6272533,3720,27.55198966,1820.326582,978.6191395,650.4404286,0.290446311,0.530053344,684.5421203
350,398.7697181,23078.15809,65.87710795,26.91929025,3.656900059,13.17542159,19.76313238,0.65875266,0.032303817,0.019387202,0.012916615,20.39240937,5208396.72,6252577.094,3751546.257,2632664.04,0.3,0.1,0.1,0.4,1940728.998,18676.52083,3302.02442,2185.311504,1027.640479,910.7695355,1923.914711,172.9187986,749.5571526,4502.945626,681.6372581,852.0465726,220.088888,3720,27.15146842,1818.87352,970.364499,649.2185061,0.290131858,0.52171648,695.480886
300,398.7697181,23072.54129,76.8329782,29.07168313,3.914305794,15.36659564,23.04989346,0.564645137,0.027294455,0.017804697,0.009489758,20.68717355,3992492.819,4792908.547,2875745.128,2018066.756,0.1,0.2,0.3,0.4,1875040.804,18697.23357,3582.805284,2185.311504,1198.545002,910.4892984,1498.464957,186.1139351,870.8196625,4350.533639,655.3077275,819.1346594,222.7262876,3720,26.82897905,1819.864269,937.5204022,641.4660369,0.289336997,0.515538607,703.8150689
300,398.7697181,22854.91534,76.11393297,28.93532897,3.89798201,15.22278659,22.83417989,0.564645137,0.0273452,0.017855442,0.009489758,20.64878407,3955128.878,4748053.875,2848832.325,1999180.579,0.3,0.2,0.1,0.4,1819527.118,18475.95739,3532.889371,2185.311504,1187.32836,901.9682677,1485.290421,185.2793322,862.8610771,4221.728889,658.9579524,823.6974405,229.6861376,3720,26.59513214,1820.724438,909.7635588,637.5137359,0.288973507,0.499916979,725.8081948
350,398.7697181,22742.12321,64.92480978,26.72401369,3.633578043,12.98496196,19.47744293,0.65875266,0.032394231,0.019477616,0.012916615,20.3354931,5133105.821,6162191.862,3697315.117,2594607.1,0.1,0.2,0.1,0.4,1852391.946,18333.28756,3230.815059,2185.311504,1012.78524,897.6034818,1897.736379,171.7194206,739.0168612,4297.982984,688.8356498,861.0445622,232.8024816,3720,26.78384489,1820.975989,926.1959728,643.0067047,0.289648794,0.493224983,735.6558419
325,398.7697181,22542.93254,69.30889569,27.61155288,3.739621761,13.86177914,20.79266871,0.611698899,0.0298479,0.018710614,0.011137286,20.49386711,4475821.201,5373134.696,3223880.817,2262372.503,0.3,0.1,0.3,0.4,1782977.703,18149.03425,3317.452824,2185.311504,1081.174158,889.7706224,1668.308836,177.1675741,787.5410996,4136.92569,673.8982882,842.3728602,235.8295898,3720,26.41221221,1820.442969,891.4888513,635.6403584,0.288720199,0.486893948,745.2215039
300,398.7697181,22597.49771,75.26291972,28.77311448,3.87856513,15.05258394,22.57887591,0.564645137,0.027406404,0.017916646,0.009489758,20.6026713,3910907.446,4694966.922,2816980.153,1976828.177,0.1,0.3,0.1,0.4,1753230.709,18212.87879,3474.008542,2185.311504,1174.053101,891.8833567,1469.689175,184.2862167,853.4418342,4067.905701,664.6189201,830.7736501,239.2285464,3720,26.31654858,1822.255343,876.6153547,632.8075211,0.28860024,0.479976164,755.9622067
350,398.7697181,22876.52656,65.30578734,26.802307,3.642927986,13.06115747,19.5917362,0.65875266,0.032357768,0.019441153,0.012916615,20.35840829,5163226.789,6198351.488,4338846.042,1957374.154,0.1,0.1,0.3,0.3,1832560.404,18457.1887,3258.313363,2185.311504,1018.728245,902.8707083,2023.795175,172.20034,743.233623,4251.969166,699.3378579,874.1723224,240.7689016,3720,27.15760461,1825.278801,916.2802022,644.3758514,0.29031555,0.476905444,760.8297289
280,398.7697181,22882.78593,81.6470151,29.96860301,4.021732735,16.32940302,24.49410453,0.527002128,0.025522808,0.017256174,0.008266634,20.64828184,3521610.664,4227623.847,2536574.308,1780052.146,0.3,0.2,0.3,0.4,1767736.416,18501.74471,3670.845993,2185.311504,1273.640879,903.0341919,1331.915169,191.5995901,924.1027138,4101.562336,661.0412293,826.3015367,241.2518576,3720,26.4974609,1825.523284,883.868208,634.8028542,0.289218954,0.475950739,762.3558699
300,398.7697181,22772.13038,75.84030476,28.88327115,3.891750418,15.16806095,22.75209143,0.564645137,0.027364742,0.017874984,0.009489758,20.63403827,3940910.261,4730984.707,3311689.295,1493995.171,0.3,0.1,0.3,0.3,1756345.344,18381.58495,3513.191844,2185.311504,1183.059936,898.725643,1568.393588,184.9606486,859.8324867,4075.132382,670.5454234,838.1817793,242.2528537,3720,26.68197052,1824.959893,878.1726719,635.1668083,0.28919551,0.473984096,765.5190178
325,398.7697181,22258.91315,68.4412867,27.43818787,3.718899269,13.68825734,20.53238601,0.611698899,0.029922429,0.018785143,0.011137286,20.44282249,4419792.857,5305873.778,3183524.267,2234052.117,0.1,0.2,0.3,0.4,1708700.203,17858.75173,3255.507768,2185.311504,1067.640017,878.6322524,1648.672764,176.1039875,777.9381707,3964.584502,680.1614205,850.2017756,246.5637634,3720,26.10189595,1822.208864,854.3501016,630.3995263,0.288311709,0.46569698,779.1414925
280,398.7697181,22651.36878,80.82758603,29.81783772,4.003669085,16.16551721,24.24827581,0.527002128,0.025574412,0.017307779,0.008266634,20.60661731,3486266.933,4185194.397,2511116.638,1762187.115,0.1,0.3,0.3,0.4,1709046.728,18265.33292,3615.956763,2185.311504,1260.858313,893.9709428,1319.366531,190.678005,915.0330531,3965.38852,666.0358629,832.5448287,249.6261375,3720,26.24840387,1826.819483,854.523364,630.5972284,0.288876942,0.459983883,788.8185944
300,398.7697181,22474.70421,74.85678261,28.69537609,3.869261032,14.97135652,22.45703478,0.564645137,0.027436062,0.017946304,0.009489758,20.58040021,3889803.234,4669631.733,3268742.213,1474620.547,0.1,0.2,0.3,0.3,1680237.485,18077.73749,3445.305594,2185.311504,1167.717623,887.0704409,1549.210908,183.8101966,848.9465998,3898.544333,676.9667127,846.2083909,253.1638883,3720,26.35757319,1826.682224,840.1187426,629.7332346,0.288759242,0.453555998,799.997887
325,398.7697181,22027.71413,67.73463079,27.29617077,3.701926909,13.54692616,20.32038924,0.611698899,0.029984428,0.018847142,0.011137286,20.40055244,4374158.52,5251090.66,3150654.396,2210985.541,0.3,0.2,0.1,0.4,1648675.077,17623.77333,3205.430334,2185.311504,1056.616639,869.560203,1632.669626,175.2324986,770.1167135,3825.312156,683.9407943,854.9259928,254.0204394,3720,25.84999875,1823.13867,824.3375385,626.1465132,0.287921056,0.452026617,802.7045886
300,398.7697181,21988.15141,73.24640687,28.38503964,3.832125717,14.64928137,21.97392206,0.564645137,0.027556622,0.018066864,0.009489758,20.49036119,3806122.843,4569175.082,2741505.049,1923863.192,0.3,0.2,0.3,0.4,1596328.369,17591.25234,3335.867473,2185.311504,1142.596798,867.9867406,1432.682705,181.9093281,831.1225292,3703.855538,676.8990704,846.123838,260.742681,3720,25.65547546,1825.443704,798.1641845,621.6470532,0.287663094,0.440372859,823.946872
350,398.7697181,21937.92226,62.61256989,26.24382344,3.576253339,12.52251398,18.78377097,0.65875266,0.03262429,0.019707675,0.012916615,20.19209184,4950294.781,5942730.829,3565638.497,2502202.454,0.3,0.1,0.3,0.4,1643268.423,17514.53271,3060.24023,2185.311504,976.7157865,865.635507,1834.089701,168.7684717,713.42437,3812.767454,703.3895571,879.2369463,260.8294512,3720,25.901283,1825.041086,821.6342117,628.1007888,0.288374422,0.44022636,824.2210659
325,398.7697181,21744.95304,66.83878292,27.11506246,3.680286903,13.36775658,20.05163487,0.611698899,0.03006476,0.018927474,0.011137286,20.34604293,4316306.568,5181640.537,3108984.322,2181743.384,0.1,0.3,0.1,0.4,1576655.684,17335.65479,3142.271421,2185.311504,1042.641989,858.0593124,1612.369131,174.1208367,760.2012291,3658.210303,689.2982493,861.6228116,264.0266384,3720,25.53982349,1824.621724,788.3278419,620.9079546,0.287479584,0.434895512,834.3241775
350,398.7697181,22179.86933,63.3297969,26.39370694,3.594142441,12.66595938,18.99893907,0.65875266,0.032551271,0.019634656,0.012916615,20.23738681,5007000.409,6010804.813,4207563.369,1898148.888,0.1,0.2,0.1,0.3,1651462.224,17747.8754,3111.929105,2185.311504,987.9040661,875.5515558,1965.916821,169.6898149,721.3628309,3831.778989,711.9939253,889.9924067,264.9304056,3720,26.38810821,1828.760084,825.7311118,631.5164587,0.289213124,0.433411936,837.1800818
325,398.7697181,21927.51005,67.3949116,27.22763353,3.693737084,13.47898232,20.21847348,0.611698899,0.03001466,0.018877374,0.011137286,20.38000448,4352220.176,5224754.113,3657327.879,1649922.351,0.3,0.1,0.3,0.3,1578452.868,17511.5557,3180.726896,2185.311504,1051.317239,865.198889,1722.330687,174.8118481,766.3566104,3662.380192,695.9543455,869.9429319,267.5366065,3720,25.93401564,1827.593578,789.2264342,623.3585469,0.28811701,0.429189865,845.4156766
300,398.7697181,21738.29662,72.38420422,28.21748122,3.812080335,14.47684084,21.71526127,0.564645137,0.027623191,0.018133432,0.009489758,20.44098187,3761319.974,4515390.125,2709234.075,1901216.895,0.1,0.3,0.3,0.4,1533871.004,17336.78781,3277.409689,2185.311504,1129.146992,857.7692456,1416.842879,180.8826221,821.5794391,3558.939829,681.5088136,851.8860171,269.3206788,3720,25.38318535,1826.649962,766.9355019,617.0490534,0.287264384,0.426346764,851.053345
350,398.7697181,22405.22377,63.96931974,26.52663788,3.610011156,12.79386395,19.19079592,0.65875266,0.032487438,0.019570823,0.012916615,20.27715008,5057562.566,6071503.68,4857202.944,1278211.301,0.1,0.1,0.3,0.2,1656218.987,17964.5887,3158.189253,2185.311504,997.8802108,884.3933065,2097.864329,170.5067571,728.4412412,3842.815794,720.6350628,900.7938285,269.5332829,3720,26.85777333,1832.530166,828.1094936,634.5849541,0.29001702,0.426010468,851.725174
350,398.7697181,21637.26219,61.76172372,26.06489902,3.554902825,12.35234474,18.52851712,0.65875266,0.032712942,0.019796327,0.012916615,20.13737136,4883024.912,5861974.684,3517184.811,2468199.867,0.1,0.2,0.3,0.4,1563444.509,17207.22594,2998.150649,2185.311504,963.4431339,853.8721072,1810.638565,167.6683087,704.0069765,3627.557284,710.0362403,887.5453004,272.4057526,3720,25.56863063,1826.985704,781.7222543,622.4894848,0.287943391,0.421518264,860.8021781
300,398.7697181,21547.4659,71.75424762,28.09442514,3.797361108,14.35084952,21.52627429,0.564645137,0.027672756,0.018182998,0.009489758,20.40436944,3728585.369,4476092.88,2685655.728,1884670.686,0.3,0.3,0.1,0.4,1484619.312,17142.6775,3234.918406,2185.311504,1119.320075,850.3039752,1405.26319,180.1284311,814.6069105,3444.664375,684.7884033,855.9855041,275.5029975,3720,25.17543502,1827.423702,742.3096562,613.5457114,0.286943511,0.416779494,870.5894722
325,398.7697181,21617.12319,66.44918948,27.03592211,3.670832169,13.2898379,19.93475684,0.611698899,0.030100318,0.018963032,0.011137286,20.32200806,4291147.452,5151437.517,3606006.262,1626769.742,0.1,0.2,0.3,0.3,1497332.061,17194.29713,3114.147791,2185.311504,1036.564582,853.0577156,1699.521704,173.6349624,755.8891045,3474.160928,702.8260642,878.5325803,279.2849686,3720,25.5900878,1829.521098,748.6660305,617.6107039,0.287667919,0.411135625,882.5405008
350,398.7697181,21390.78028,61.06365984,25.91718075,3.537279999,12.21273197,18.31909795,0.65875266,0.032787379,0.019870764,0.012916615,20.09165365,4827834.365,5795719.526,3477431.716,2440302.958,0.3,0.2,0.1,0.4,1498546.624,16956.86776,2947.627595,2185.311504,952.5537868,844.2210082,1791.385764,166.7597745,696.2806183,3476.978998,713.9125172,892.3906466,280.3667497,3720,25.29677661,1827.973968,749.2733121,617.9051971,0.287520668,0.409549278,885.9589292
280,398.7697181,21701.76635,77.42303094,29.18310025,3.927645785,15.48460619,23.22690928,0.527002128,0.025799472,0.017532839,0.008266634,20.42685683,3339421.179,4008908.979,2405345.387,1687961.675,0.3,0.3,0.3,0.4,1470298.708,17297.90595,3391.035883,2185.311504,1207.749445,856.3150922,1267.152901,186.7957743,877.3505245,3411.43722,683.8604009,854.8255011,281.5884927,3720,25.22280624,1831.166169,735.1493541,613.2906641,0.287353468,0.407772345,889.819637
300,398.7697181,21321.32655,71.00728318,27.94781056,3.779826478,14.20145664,21.30218495,0.564645137,0.027732574,0.018242816,0.009489758,20.36035798,3689770.654,4429496.583,2657697.95,1865051.193,0.1,0.4,0.1,0.4,1425675.964,16911.38867,3184.678404,2185.311504,1107.66791,841.4521123,1391.525452,179.2296641,806.3393078,3307.902007,689.9378734,862.4223417,284.0607101,3720,24.92742736,1828.82357,712.837982,609.3656211,0.286616687,0.404223449,897.631844
325,398.7697181,21108.41921,64.89741345,26.71837472,3.632904663,12.97948269,19.46922403,0.611698899,0.030245848,0.019108562,0.011137286,20.22422721,4190937.053,5031136.918,3018682.151,2118373.439,0.3,0.2,0.3,0.4,1409195.237,16686.0864,3006.719192,2185.311504,1012.357875,833.1360409,1568.32602,171.6847806,738.7136312,3269.662861,702.3328063,877.9160079,287.1048067,3720,24.83874783,1828.163786,704.5976183,609.0872299,0.286506402,0.399937574,907.2511891
280,398.7697181,21496.05084,76.69551842,29.04566581,3.911190939,15.33910368,23.00865553,0.527002128,0.025849931,0.017583297,0.008266634,20.38698412,3308042.005,3971238.902,2382743.341,1672100.59,0.1,0.4,0.3,0.4,1417508.269,17087.59386,3343.527458,2185.311504,1196.400718,848.2684975,1255.979034,185.9547004,869.2982208,3288.951042,688.4569843,860.5712303,289.1861728,3720,24.99873322,1832.367535,708.7541346,609.5150342,0.287050856,0.397059095,913.8283061
350,398.7697181,21105.52207,60.25520063,25.74504238,3.516748456,12.05104013,18.07656019,0.65875266,0.03287558,0.019958964,0.012916615,20.03775042,4763915.708,5718986.444,3431391.866,2407994.292,0.1,0.3,0.1,0.4,1422577.866,16665.25615,2889.341652,2185.311504,939.9423435,833.0436411,1769.073733,165.700758,687.3323749,3300.713693,720.2659186,900.3323982,291.4066993,3720,24.97937795,1829.833694,711.2889328,612.5560102,0.287110471,0.394033494,920.8451698
