W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,398.7697181,24486.80258,81.54450864,28.55599913,4.316671326,17.75162121,22.93635353,0.564645137,20.19314838,4237319.349,5086817.946,2944999.864,2141818.083,0.1,0.2,0.3,0.4,2756254.085,21047.11989,3367.771258,2420.777115,1266.885553,966.3232734,1545.284853,182.9565993,921.4366536,270.3410525,94.7561687,189.2239133,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6890.635213,649.6826977,812.1033721,339.4050989,2790,35.57986801
300,398.7697181,24939.96605,83.06469622,28.82094659,4.352882766,18.2699251,23.585236,0.564645137,20.23746539,4316313.267,5181648.58,3545338.502,1636310.078,0.3,0.1,0.3,0.3,2812555.866,21493.11491,3460.568144,2420.777115,1303.610571,984.3382807,1678.884562,184.5790817,942.1269687,270.3410525,96.52265369,189.2485846,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7031.389665,656.851138,821.0639226,341.4160978,2790,36.12480039
300,398.7697181,24156.64142,80.45304116,28.3642453,4.290467812,17.38700968,22.47983093,0.564645137,20.15849645,4180603.129,5018731.248,2905581.249,2113149.999,0.3,0.2,0.1,0.4,2679754.843,20714.55481,3301.158279,2420.777115,1241.559774,953.3888294,1525.853378,181.7819264,906.890904,270.3410525,93.48786407,189.2003457,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6699.387107,652.0866085,815.1082607,345.2254254,2790,35.16703786
350,398.7697181,24358.16589,69.53562879,26.36960917,4.018130814,13.80618461,17.98161869,0.65875266,19.95809976,5497647.85,6599817.347,4515664.501,2084152.846,0.1,0.1,0.3,0.3,2774544.833,20898.0015,3077.497026,2420.777115,989.9389098,961.3507,2109.527244,169.5417,761.9019822,270.3410525,80.80163682,189.2338171,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6936.362081,670.1643879,837.7054848,345.2695892,2790,35.47265409
350,398.7697181,23348.47621,66.65142929,25.8169381,3.942756357,12.93319607,16.88246267,0.65875266,19.84327617,5269616.359,6326070.058,3662461.613,2663608.446,0.3,0.1,0.3,0.4,2590266.43,19892.44026,2890.499166,2420.777115,928.4263328,921.474966,1896.695639,166.1431071,725.0719425,270.3410525,77.45014573,189.1664864,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6475.666075,666.03595,832.5449375,352.6950533,2790,34.23928446
350,398.7697181,23865.34457,68.12919909,26.10157066,3.981570144,13.38025191,17.44563366,0.65875266,19.90291809,5386452.261,6466329.245,4424330.536,2041998.709,0.3,0.1,0.1,0.3,2657273.457,20401.83639,2985.510368,2420.777115,959.976198,941.9059833,2069.202928,167.8938208,743.952204,270.3410525,79.16734051,189.1975005,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6643.183644,673.5081875,841.8852343,354.0662685,2790,34.8516654
350,398.7697181,23115.07404,65.98993981,25.68850712,3.925246509,12.73722236,16.63556401,0.65875266,19.81496975,5217317.468,6263286.276,3626113.107,2637173.169,0.1,0.2,0.1,0.4,2532625.926,19655.32542,2847.875997,2420.777115,914.7716569,912.3294995,1878.98658,165.3528783,716.7596004,270.3410525,76.68148319,189.1565089,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6331.564815,669.7486185,837.1857731,358.8945448,2790,33.93518449
400,398.7697181,25503.78841,63.71171907,25.24118045,3.864277555,12.03429376,15.747586,0.752860183,19.49935228,7272755.427,8730798.832,5973704.464,2757094.368,0.1,0.1,0.1,0.3,3028817.778,21994.82559,3066.999256,2420.777115,865.3797934,1006.667784,2748.466717,162.5991382,687.4290805,270.3410525,74.0341502,189.3588231,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7572.044445,718.9628188,898.7035235,359.5423374,2790,36.97431644
400,398.7697181,24303.0719,60.70376817,24.6381347,3.782131445,11.17042719,14.65660233,0.752860183,19.37509943,6929394.871,8318601.286,4816032.323,3502568.962,0.1,0.1,0.3,0.4,2814836.562,20800.1729,2854.833132,2420.777115,804.210788,959.1400743,2454.442098,158.883385,649.9047411,270.3410525,70.53885777,189.2820201,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7037.091406,712.898997,891.1237463,368.2358381,2790,35.53928601
300,398.7697181,22934.32573,76.38654866,27.63811655,4.191274893,16.05223031,20.80692076,0.564645137,20.02173383,3969294.88,4765059.88,2758718.878,2006341.002,0.3,0.2,0.3,0.4,2393748.565,19477.31144,3056.446236,2420.777115,1147.97534,905.1988939,1453.32903,177.330515,852.9269687,270.3410525,88.7625275,189.1241127,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5984.371413,667.0142895,833.7678619,372.6684364,2790,33.66086287
300,398.7697181,23163.04185,77.14383972,27.77477988,4.209939579,16.30200419,21.120343,0.564645137,20.04801001,4008646.2,4812300.361,3292626.562,1519673.798,0.1,0.2,0.3,0.3,2403424.38,19696.45803,3100.759307,2420.777115,1165.381679,914.1731574,1565.814335,178.1686959,862.9700944,270.3410525,89.64251318,189.1409001,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6008.560949,676.5838204,845.7297756,379.4683517,2790,33.93328297
350,398.7697181,23387.23593,66.76191042,25.83832627,3.945672566,12.97564593,16.93637184,0.65875266,19.84646838,5278351.252,6336556.125,5002544.309,1334011.816,0.1,0.1,0.3,0.2,2483171.801,19899.90244,2895.731044,2420.777115,931.4229405,923.0024304,2160.27154,166.2746905,726.6729276,270.3410525,77.57852677,189.1724349,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6207.929504,697.3334912,871.666864,382.4966223,2790,34.25664036
350,398.7697181,21746.95137,62.06575027,24.91299867,3.819566167,11.59532975,15.19518059,0.65875266,19.6382484,4907061.955,5890830.679,3410480.919,2480349.759,0.1,0.2,0.3,0.4,2196738.562,18267.90528,2599.467268,2420.777115,833.729145,858.0754349,1773.73463,160.5774894,667.4365177,270.3410525,72.12150519,189.0704851,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5491.846405,689.0460836,861.3076046,393.0508208,2790,32.22785737
350,398.7697181,22165.22827,63.27500515,25.15452348,3.852469872,11.94765657,15.64013929,0.65875266,19.693655,5002668.446,6005604.377,4109097.732,1896506.646,0.3,0.1,0.3,0.3,2244496.014,18678.48229,2674.432257,2420.777115,859.0412806,874.7940303,1929.708482,162.0654313,682.7361816,270.3410525,73.52668085,189.0915153,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5611.240034,696.7459767,870.9324709,395.7061116,2790,32.74431454
350,398.7697181,21431.84947,61.17383851,24.73334561,3.795097228,11.34148103,14.87457413,0.65875266,19.59412824,4836545.346,5806176.886,3361470.829,2444706.057,0.3,0.2,0.1,0.4,2118512.569,17949.87622,2544.128693,2420.777115,816.0600257,845.7442858,1749.764045,159.4703043,656.4490529,270.3410525,71.08508787,189.0469063,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5296.281421,691.9732452,864.9665565,399.3917559,2790,31.81891953
400,398.7697181,24565.48525,61.3649645,24.77195279,3.800355144,11.36879424,14.90778345,0.752860183,19.40178553,7004871.083,8409208.983,6638849.197,1770359.786,0.1,0.1,0.1,0.2,2725534.788,21026.90914,2899.075846,2420.777115,818.3840834,969.5874261,2825.496164,159.7082665,658.3692341,270.3410525,71.30717966,189.2975746,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6813.836969,748.5761067,935.7201334,399.575736,2790,35.80093263
