W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
350,398.7697181,14826.59678,42.29761133,20.56638309,3.229286824,6.457776444,8.666952879,0.65875266,18.28753031,3344147.109,4014582.364,2324231.895,1690350.469,0.3,0.5,0.3,0.4,418257.9567,11229.80468,1466.830569,2420.777115,469.672316,584.7721108,1237.467372,133.6842905,432.0977545,1045.644892,806.792092,1008.490115,584.42811,2790,23.09396143,1811.734067,209.1289784,473.3171904,1846.792828
350,398.7697181,14961.79521,42.67891948,20.6588769,3.241801542,6.54843182,8.783179455,0.65875266,18.32388584,3374294.214,4050773.366,2771581.777,1279191.589,0.3,0.4,0.3,0.3,417640.0099,11358.30577,1486.203874,2420.777115,475.9641599,590.0438341,1331.228837,134.2590023,436.4202538,1044.100025,813.4894437,1016.861805,589.4115097,2790,23.27044429,1815.106443,208.8200049,474.6517074,1862.540371
400,398.7697181,14701.22037,36.71130289,19.16019386,3.039357181,5.191623887,7.039143081,0.752860183,17.72024512,4190631.351,5030769.929,2912551.011,2118218.917,0.3,0.4,0.3,0.4,349812.2324,11058.21482,1346.51303,2420.777115,380.1672637,580.0460969,1529.290172,124.9325793,369.5653772,874.5305809,853.0055466,1066.256933,619.3903795,2790,22.99318807,1824.458232,174.9061162,475.6785016,1957.273599
350,398.7697181,15388.33176,43.92233098,20.95765516,3.282243869,6.839806105,9.156018795,0.65875266,18.43635173,3472601.207,4168788.964,2413509.4,1755279.564,0.3,0.5,0.1,0.4,566100.3106,11802.3703,1551.878822,2420.777115,497.516596,607.2344576,1281.993521,136.1146951,450.8230332,1415.250777,795.9614563,994.9518203,567.6021014,2790,23.86057489,1814.035672,283.0501553,483.6047969,1793.62264
300,398.7697181,15739.98251,52.41964886,22.8953377,3.545073143,9.011472663,11.92638007,0.564645137,18.78201731,2723896.386,3269983.657,2237357.239,1032626.418,0.3,0.5,0.3,0.3,595238.7899,12165.10403,1745.15124,2420.777115,651.5848618,621.1814534,1088.264985,148.1220065,551.2640554,1488.096975,784.8784755,981.0980944,562.5834777,2790,24.30370491,1814.149843,297.619395,483.9247523,1777.76379
350,398.7697181,15537.56419,44.34391997,21.0579961,3.295831469,6.939968088,9.284107448,0.65875266,18.47444259,3505933.009,4208803.132,2436675.498,1772127.635,0.1,0.5,0.3,0.4,605453.2856,11953.25722,1574.142985,2420.777115,504.4828233,613.0630842,1293.5321,136.7376444,455.6050427,1513.633214,794.306972,992.883715,564.3594273,2790,24.07245856,1815.008501,302.7266428,486.3240857,1783.37579
400,398.7697181,15376.53848,38.37930742,19.59063741,3.097425478,5.553828207,7.505497262,0.752860183,17.89396701,4381035.708,5259346.589,3044884.867,2214461.722,0.3,0.4,0.1,0.4,532509.1572,11747.40618,1439.336252,2420.777115,405.3823315,606.4012665,1594.460647,127.614444,387.7882827,1331.272893,839.1323007,1048.915376,597.9836704,2790,23.91528162,1826.974918,266.2545786,488.1959093,1889.628398
350,398.7697181,15825.29468,45.1575472,21.25030522,3.321880432,7.136842872,9.535856096,0.65875266,18.54572881,3570260.263,4286026.726,2932544.602,1353482.124,0.1,0.4,0.3,0.3,642888.0766,12236.55836,1617.021429,2420.777115,518.209028,624.3117915,1403.924132,137.9311978,464.9176423,1607.220191,798.736314,998.4203925,565.4618034,2790,24.45419518,1819.178756,321.4440383,490.352781,1786.859299
400,398.7697181,15579.30525,38.91334781,19.72646644,3.115762793,5.672325203,7.657922026,0.752860183,17.943844,4441996.944,5332529.345,3087253.831,2245275.514,0.1,0.4,0.3,0.4,583159.6107,11950.28703,1469.276718,2420.777115,414.7288072,614.8393347,1615.293414,128.4601816,394.0008887,1457.899027,839.018216,1048.77277,595.2932882,2790,24.20689732,1828.941604,291.5798054,491.9334656,1881.126791
300,398.7697181,16473.6412,54.84211488,23.41839339,3.616161862,9.6554309,12.74374738,0.564645137,18.95582693,2849775.643,3421099.211,2340752.092,1080347.119,0.1,0.5,0.3,0.3,783070.7727,12912.04098,1866.734659,2420.777115,696.4079774,649.8884902,1135.511531,151.3554236,580.1658168,1957.676932,771.6002263,964.5002829,542.1425673,2790,25.29461921,1817.305598,391.5353863,496.9986334,1713.170513
