W_S,W_S_max,WTO,AR,t_c,lambda,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,447.063628623853,27075.387667192,10,0.1,0.4,89.984516693177,29.9974193378659,4.67495905641807,20.7101254122782,26.9733242002965,0.564645137304285,21.0019255454636,4675889.76955106,5613313.04868075,3840687.87541314,1772625.1732676,0.1,0.1,0.3,0.3,3190506.49473328,23661.4571553794,4183.70964455821,2420.77711531044,1478.50251903548,1066.34190736203,1810.51901262483,191.775712893767,1038.60165931751,270.34105252,104.563608093543,189.330453781763,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7976.2662368332,623.93051181257,779.913139765712,293.6605952387,2790,38.5266055017034
300,447.063628623853,24772.7685526941,10,0.1,0.4,85.5449667437758,29.2480711746562,4.56881898325596,19.1788239477697,25.0372438615165,0.564645137304285,20.9949982995787,4445196.2352334,5336370.0302922,3651200.54704203,1685169.48325017,0.1,0.2,0.3,0.3,2469893.99103107,21242.7268265827,3954.86256631888,2420.77711531044,1314.31925064997,1013.73079746494,1726.12728327796,187.193323818127,961.268236326147,270.34105252,99.4047721284206,189.239218141443,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6174.73497757769,740.041726111428,925.052157639285,420.793256378984,2790,35.8174596452904
300,447.063628623853,22875.2819470289,10,0.1,0.4,75.9656666576858,27.5618697946431,4.33017894629504,16.0364932659164,21.0554437952912,0.564645137304285,20.5581860869725,3947424.47495673,4738804.89190484,3242340.18919805,1496464.70270679,0.1,0.3,0.3,0.3,1770133.83868496,19293.7196929336,4350.43164973939,2420.77711531044,1148.15118551856,900.211241143061,1543.26308512163,176.862800683135,850.270804955446,270.34105252,88.2734551327679,189.074473048166,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4425.33459671241,791.562254095292,989.452817619115,499.435222019511,2790,33.2624962567592
300,447.063628623853,25533.4313099004,10,0.1,0.4,85.1482357303691,29.1801706181388,4.55920385587683,19.0642661252445,24.8931067938424,0.564645137304285,20.7830981737305,4424580.79432174,5311621.60182682,3634267.41177625,1677354.19005057,0.3,0.1,0.3,0.3,2771181.13014035,22076.0643981062,3936.33405051259,2420.77711531044,1402.46419260471,1009.02932265791,1718.57527049715,186.777847236874,984.895545773117,270.34105252,98.9437636379726,189.245178955912,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6927.95282535088,667.366911794248,834.20863974281,349.979951756472,2790,36.6840316895437
300,447.063628623853,24820.9958432809,10,0.1,0.4,82.4505327265809,28.7142007944816,4.49323159790866,18.2068714932702,23.8097713212255,0.564645137304285,20.7748516879597,4284399.32377263,5143336.52313642,3519124.98951439,1624211.53362203,0.3,0.2,0.3,0.3,2140857.98810781,21243.1726449741,4916.61369240263,2420.77711531044,1301.77758836999,977.060124642177,1667.17542909025,183.925472219991,937.630380469029,270.34105252,95.8089847892658,189.189601842155,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5352.14497026953,787.823198306831,984.778997883539,475.38979702034,2790,35.6414574769477
300,447.063628623853,21214.4484838402,10,0.1,0.4,70.4733533012115,26.546817756788,4.18667534390539,14.2812545223789,18.8226601830925,0.564645137304285,20.3365386058319,3662025.91108742,4396189.56913255,3007919.17888017,1388270.39025239,0.3,0.3,0.3,0.3,1439118.89598513,17626.2969595652,3888.69686440272,2420.77711531044,1025.07327585985,835.124806444292,1437.89312979296,170.630759067504,778.371678214651,270.34105252,81.8912893731683,188.971515568153,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3597.79723996283,798.151524275049,997.689405343811,523.001947229182,2790,31.1977368741836
300,447.063628623853,29744.6899926779,10,0.1,0.4,98.8825362564394,31.4455936907605,4.88021657423177,23.9434045364652,31.054391673953,0.564645137304285,21.2030968092793,5138259.96582594,6168379.31071541,3571166.96936155,2597212.34135386,0.1,0.1,0.1,0.4,3886775.14721208,26383.0974872745,4645.04819840704,2420.77711531044,1706.6402618611,1171.7887076434,1852.19899694359,200.617387424567,1163.62089061578,270.34105252,114.903265010233,189.495510459525,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,9716.93786803019,571.592505403376,714.49063175422,214.939611970305,2790,41.7042499319694
300,447.063628623853,27963.3437213151,10,0.1,0.4,92.8873370508754,30.4774239480432,4.74297405055572,21.7388738655482,28.2727049573751,0.564645137304285,21.0775164873121,4826729.80861787,5794393.52775255,3354648.88448832,2439744.64326423,0.1,0.1,0.3,0.4,3462577.26585985,24578.4577223208,4333.52914400045,2420.77711531044,1549.17095036582,1100.74199278299,1746.42600203401,194.708367683128,1078.27094277797,270.34105252,107.936736953959,189.384020193743,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,8656.44316464962,594.885998994287,743.607498742859,256.49785147786,2790,39.6007158141403
300,447.063628623853,25908.1613458812,10,0.1,0.4,86.0993954766282,29.3426984915546,4.58221949756213,19.3390462346478,25.2388007806176,0.564645137304285,20.9116547868191,4474006.16537648,5370955.78076408,3109500.71517921,2261455.06558488,0.1,0.2,0.1,0.4,2961010.23290874,22492.4847303117,3985.49820276757,2420.77711531044,1375.88582957801,1020.30107628762,1626.22599776244,187.772267961447,983.122148267694,270.34105252,100.049028172329,189.258196363611,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7402.52558227186,625.676615569489,782.095769461862,307.762833283115,2790,37.1185245368139
300,447.063628623853,25152.5704961523,10,0.1,0.4,83.9112799571955,28.9674437873271,4.52908327849569,18.6360829566421,24.3507641615238,0.564645137304285,20.7461204856647,4360304.52705133,5234459.21614806,3030476.38829625,2203982.82785181,0.1,0.2,0.3,0.4,2724012.60992889,21700.0037143529,3873.84049442074,2420.77711531044,1372.3436510832,994.370741162855,1587.37246133838,185.475917562128,967.989461293812,270.34105252,97.5063990396142,189.226662750883,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6810.03152482222,662.566781799386,828.208477249233,349.25609025994,2790,36.2313048152738
