W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,447.0636286,28692.2438,95.57425318,32.42401556,4.405376539,23.74877241,27.57986464,0.564645137,21.24612969,4966350.758,5962005.712,3451687.517,2510318.194,0.1,0.1,0.1,0.4,3759766.979,25358.72913,4194.443484,2420.777115,1599.106976,1132.583536,1793.874429,206.5808514,1110.393058,270.3410525,111.0589813,189.4239614,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,9399.417447,543.5146703,679.3933378,207.7484424,2790,40.48761152
300,447.0636286,27143.72479,90.41027234,31.53590011,4.294815158,21.80385187,25.38091053,0.564645137,21.11961714,4698013.425,5639872.059,3265189.087,2374682.972,0.1,0.1,0.3,0.4,3373219.961,23783.10718,3950.149916,2420.777115,1469.755516,1071.387353,1702.618732,201.1681417,1038.743431,270.3410525,105.0583437,189.3294409,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8433.049903,570.6176122,713.2720152,249.6577181,2790,38.64680443
300,447.0636286,26777.08344,89.17791575,31.32023425,4.267974392,21.34799124,24.86500487,0.564645137,21.08758384,4633976.147,5562996.575,3220682.227,2342314.347,0.3,0.1,0.1,0.4,3282700.283,23411.98838,3892.227878,2420.777115,1439.091294,1056.783233,1680.800561,199.8527389,1021.705461,270.3410525,103.6263235,189.3037845,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8206.750707,575.095059,718.8688237,257.741805,2790,38.19787347
350,447.0636286,27910.46109,79.68358303,29.60607055,4.054751875,17.85791897,20.90494797,0.65875266,21.08895702,6299968.614,7562987.532,4378571.729,3184415.803,0.1,0.1,0.1,0.4,3463444.199,24511.94649,4315.273949,2420.777115,1207.532819,1101.652629,2243.836698,189.3831862,891.8329255,270.3410525,92.59374006,189.3836427,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,8658.610498,608.5146062,760.6432578,263.535286,2790,39.526207
300,447.0636286,26284.04866,87.53895613,31.03108953,4.231993581,20.75420475,24.19294858,0.564645137,21.04113214,4548810.445,5460756.836,3736307.309,1724449.527,0.1,0.1,0.3,0.3,3107385.069,22895.13508,3815.093794,2420.777115,1399.752371,1037.360654,1764.057622,198.0885433,999.474477,270.3410525,101.7218232,189.2767233,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7768.462671,598.9135804,748.6419756,285.6796136,2790,37.59700728
300,447.0636286,25437.66812,84.71160049,30.52585143,4.169136027,19.72573661,23.02747069,0.564645137,20.96377187,4401891.799,5284383.913,3059380.16,2225003.753,0.3,0.1,0.3,0.4,2946288.532,22048.47217,3683.298042,2420.777115,1329.179718,1003.854963,1601.589714,195.0041287,960.3192595,270.3410525,98.43638572,189.2222313,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7365.72133,599.1959517,748.9949396,294.6183094,2790,36.58104091
350,447.0636286,26916.03472,76.84583296,29.07411499,3.988627745,16.89591763,19.81223703,0.65875266,20.9960205,6075609.522,7293648.886,4990391.343,2303257.543,0.1,0.1,0.1,0.3,3175067.664,23490.34807,4087.062899,2420.777115,1143.534006,1062.418839,2318.505302,186.1288185,854.5633426,270.3410525,89.29622403,189.3230804,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7937.669161,635.6866434,794.6083042,300.359179,2790,38.32456411
300,447.0636286,25242.88073,84.0684965,30.40975931,4.154695338,19.49663586,22.76777597,0.564645137,20.94342082,4368474.013,5244266.522,3036154.302,2208112.22,0.1,0.2,0.1,0.4,2896344.01,21849.60175,3653.351534,2420.777115,1314.211312,996.23384,1590.165902,194.295085,951.7350326,270.3410525,97.68908746,189.2135344,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7240.860024,603.2789732,754.0987165,300.5033721,2790,36.33472309
350,447.0636286,25742.6631,73.49305333,28.43279069,3.908940227,15.77007041,18.53138603,0.65875266,20.87865626,5810530.999,6975427.37,4038405.319,2937022.05,0.1,0.1,0.3,0.4,2977061.574,22321.22297,3825.341671,2420.777115,1068.441593,1016.06451,2079.33545,182.2018715,810.6845685,270.3410525,85.40023448,189.2527387,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7442.653936,631.4401277,789.3001597,308.7781534,2790,36.94579668
350,447.0636286,25256.97061,72.10746339,28.16348873,3.875489075,15.31569852,18.01405994,0.65875266,20.82626366,5700983.05,6843917.227,3962267.868,2881649.359,0.3,0.1,0.1,0.4,2867229.343,21832.2695,3718.489072,2420.777115,1038.188591,996.9078678,2042.420565,180.5517286,792.7826747,270.3410525,83.79015434,189.2190906,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7168.073356,634.7011088,793.376386,317.0887409,2790,36.34748678
300,447.0636286,25120.5273,82.83348497,30.18556501,4.126810585,19.09885518,22.31810372,0.564645137,20.84861284,4304298.775,5167225.42,3535470.024,1631755.396,0.3,0.1,0.3,0.3,2694621.94,21689.11749,3941.748919,2420.777115,1311.529448,981.5983072,1674.476995,192.9254592,942.9911331,270.3410525,96.25398211,189.1919929,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6736.554849,641.4098087,801.7622609,340.4657633,2790,36.11674488
300,447.0636286,25063.42713,83.46263287,30.29998286,4.141041147,19.3153404,22.56338524,0.564645137,20.91596829,4336991.357,5206472.218,3014273.389,2192198.828,0.1,0.2,0.3,0.4,2687561.678,21623.31506,3985.567255,2420.777115,1303.944252,989.0540378,1579.399293,193.6245052,944.7868145,270.3410525,96.98506315,189.2032399,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6718.904195,650.1120713,812.6400891,347.3887284,2790,36.07584671
350,447.0636286,24592.15475,70.1924014,27.78698284,3.828732988,14.70070465,17.31356767,0.65875266,20.75078125,5549573.814,6662153.438,4558315.51,2103837.928,0.1,0.1,0.3,0.3,2654746.452,21142.2734,3570.986166,2420.777115,996.6784292,970.4309729,2128.344243,178.24353,768.1300722,270.3410525,81.56481827,189.1826341,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6636.866131,659.8813478,824.8516847,348.5307032,2790,35.53270418
300,447.0636286,24706.82677,82.28399399,30.08527769,4.114338285,18.89628595,22.08803868,0.564645137,20.87794547,4275745.426,5132947.691,2971706.558,2161241.133,0.3,0.2,0.1,0.4,2609790.527,21264.52199,3902.194805,2420.777115,1276.359643,975.0865546,1558.441928,192.3126491,929.0092093,270.3410525,95.61546382,189.1790177,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6524.476318,652.3047765,815.3809706,353.0820765,2790,35.6359946
350,447.0636286,23537.97261,67.18250749,27.1846939,3.753967051,13.73947954,16.21701881,0.65875266,20.623541,5311604.631,6376476.147,3691644.085,2684832.062,0.3,0.1,0.3,0.4,2472297.272,20092.46942,3346.177362,2420.777115,932.5367834,928.8174253,1910.906726,174.5482803,729.7103134,270.3410525,78.06726804,189.1156763,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6180.743179,655.5031955,819.3789943,355.5053254,2790,34.25567829
350,447.0636286,23294.49087,66.49328379,27.04489086,3.736617723,13.52413965,15.97120971,0.65875266,20.59214099,5257113.009,6311060.035,3653771.599,2657288.436,0.1,0.2,0.1,0.4,2414871.194,19845.28957,3295.052142,2420.777115,918.3412115,919.2885146,1892.462689,173.6900283,721.0588468,270.3410525,77.26637785,189.1053714,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6037.177984,659.2013018,824.0016273,361.632044,2790,33.9426319
300,447.0636286,23364.89249,77.80375937,29.25476633,4.011080824,17.33255728,20.31244269,0.564645137,20.72525782,4042937.784,4853466.727,2809901.789,2043564.938,0.3,0.2,0.3,0.4,2315472.123,19909.21785,3590.21312,2420.777115,1171.948108,921.9935259,1478.627852,187.2342885,869.1670255,270.3410525,90.40935155,189.0978725,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5788.680308,665.6746406,832.0933007,379.582608,2790,33.99872753
300,447.0636286,23171.33404,77.16468508,29.13437035,3.996116558,17.11390098,20.06394158,0.564645137,20.7013313,4009729.393,4813600.712,2786821.465,2026779.247,0.1,0.3,0.1,0.4,2271883.531,19713.1659,3546.363383,2420.777115,1157.567601,914.4201851,1467.222803,186.4975761,860.7833439,270.3410525,89.66673586,189.0890439,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5679.708828,668.1681409,835.2101761,383.9194921,2790,33.75171454
350,447.0636286,23575.65393,67.28994046,27.20642103,3.756663536,13.78341242,16.26755806,0.65875266,20.62677167,5320098.53,6386672.906,5042110.189,1344562.717,0.1,0.1,0.3,0.2,2363729.628,20098.62805,3351.949022,2420.777115,935.4753063,930.3027478,2176.461134,174.6816459,731.2744316,270.3410525,78.19210706,189.1211808,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5909.324071,687.0258857,858.7823572,385.5218459,2790,34.27116755
300,447.0636286,23627.03014,78.69209934,29.42130338,4.03178201,17.64403228,20.66653688,0.564645137,20.75532024,4089098.834,4908882.153,3358708.842,1550173.312,0.1,0.2,0.3,0.3,2326952.907,20160.75345,3650.405013,2420.777115,1193.176463,932.5207903,1595.422653,188.253122,881.1886488,270.3410525,91.44161838,189.1164709,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5817.382268,676.2766877,845.3458596,387.0841967,2790,34.30998316
350,447.0636286,21889.29601,62.48727106,26.21755102,3.633989838,12.29591896,14.56757652,0.65875266,20.39834929,4940388.365,5930838.373,3433643.269,2497195.104,0.1,0.2,0.3,0.4,2083411.419,18420.17851,3003.150345,2420.777115,836.4857155,863.9031837,1785.056846,168.6069497,670.9677609,270.3410525,72.61131983,189.0214378,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5208.528547,679.1174999,848.8968749,395.7202333,2790,32.20391711
350,447.0636286,21549.57941,61.50205672,26.01004852,3.608262356,11.99970474,14.2286021,0.65875266,20.34825021,4862495.038,5837328.977,3379506.25,2457822.727,0.3,0.2,0.1,0.4,2004793.757,18078.23225,2932.90441,2420.777115,816.2236067,850.2820743,1758.58722,167.3309798,658.609736,270.3410525,71.46648326,188.9969515,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5011.984391,681.3471514,851.6839393,401.5346269,2790,31.76689903
