W_S,W_S_max,WTO,S,b,c_root,AR_vert,S_vert,AR_orizz,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
250,447.063628623853,29342.5112271711,117.284764972357,34.2468633559859,5.09568733777101,1.5,31.5990761862027,4,40.1875089492378,0.470360941634305,19.6602456794411,3733560.236117,4482065.10938415,2594879.80016977,1887185.30921438,0.1,0.2,0.3,0.4,3535969.80435499,25903.3172643004,4691.75671626981,2420.77711531044,2236.42245112344,1158.21700118787,1372.16995219045,217.670156088294,1439.39273351837,270.34105252,136.286981922999,189.630360232635,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,8839.92451088748,649.193962870676,811.492453588345,299.054490970113,2790,41.6926917851609
250,447.063628623853,26413.0836726408,105.565152005775,32.4907913116586,4.85506049846237,1.5,26.8354184571456,4,34.2749996030782,0.470360941634305,19.4851187324365,3360486.36786971,4034197.3203718,2335587.92232052,1698609.39805128,0.1,0.3,0.3,0.4,2858612.26531518,22942.5452278599,4201.12179167665,2420.77711531044,1903.30566203303,1042.48013727046,1243.13633281324,206.987557106895,1265.03618154603,270.34105252,122.668583310889,189.431917935681,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7146.53066328796,680.538444780839,850.673055976049,359.763258777242,2790,38.1666641306576
250,447.063628623853,27729.0071857228,110.828286375222,33.2908825919684,4.96467100091288,1.5,28.938668011314,4,36.8874328292649,0.470360941634305,19.570442208366,3528029.26403139,4235329.24853708,2452032.72283726,1783296.52569982,0.3,0.2,0.3,0.4,3165034.62095672,24273.8866349307,4420.67426800734,2420.77711531044,2050.39299966951,1094.45606864476,1301.1778438394,211.857770916398,1342.5916706945,270.34105252,128.784439013344,189.518620874574,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7912.58655239181,665.120550792066,831.400688490082,331.23897044659,2790,39.7620550052683
250,447.063628623853,25150.4509828827,100.508984159898,31.7031519189966,4.74719585010542,1.5,24.870213354726,4,31.8309021689386,0.470360941634305,19.3920243345016,3199531.89760283,3840974.6669902,2223722.1756259,1617252.49136429,0.3,0.3,0.3,0.4,2562820.1984253,21665.5962634311,3991.47823661096,2420.77711531044,1765.54167072936,992.548211409684,1187.22340225273,202.187981848409,1191.58169535331,270.34105252,116.793226388163,189.344941896156,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6407.05049606325,694.854719451604,868.568399314504,386.649693285737,2790,36.6194471036139
300,447.063628623853,27071.6169175451,90.1567790357695,30.0261184697206,4.5176793857501,1.5,20.7075879032421,4,26.6305695877712,0.564433129961166,20.0219930069489,4684841.08423283,5624058.92464926,3848040.31686528,1776018.60778398,0.1,0.1,0.1,0.3,3413883.18569309,23718.3728452383,3681.04823500983,2420.77711531044,1474.06512639852,1068.38331340487,1813.78930253144,191.951111939191,1038.39220620628,270.34105252,104.763779998022,189.425404638412,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,8534.70796423271,563.24407230676,704.055090383451,231.603926568845,2790,38.9104129825804
300,447.063628623853,24114.9239544946,80.3015409395504,28.3375265221844,4.28681692995718,1.5,17.2945306748328,4,22.3623019803438,0.564433129961166,19.7554917559608,4172730.68253197,5009280.53125086,3427402.46875059,1581878.06250027,0.1,0.1,0.3,0.3,2869989.82575065,20762.629040307,2785.44654058693,2420.77711531044,1234.58805263454,951.593475499933,1626.1695518696,181.618220965325,903.845294721302,270.34105252,93.3118181291226,189.235120644525,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,7174.97456437662,562.294914187596,702.868642734495,262.060620845677,2790,35.3562676504198
300,447.063628623853,22179.7269210863,73.8503938671789,27.1754289510173,4.1280989454245,1.5,15.2048974029157,4,19.7420348240573,0.564433129961166,19.5351641794898,3837507.98304884,4606852.32058685,3152056.85092784,1454795.469659,0.1,0.2,0.1,0.3,2392123.6474837,18796.838190478,2461.09039644291,2420.77711531044,1087.61960602466,875.144265096738,1502.72970878073,174.491408770495,818.680209064227,270.34105252,85.8154705460233,189.111606163858,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5980.30911870924,592.888730608321,741.110913260402,311.974826820053,2790,32.9254362685519
300,447.063628623853,21023.3696629415,69.9994928466302,26.4574172674942,4.03010990450308,1.5,14.0047240606601,4,18.2338647312759,0.564433129961166,19.3831354230598,3637402.57217094,4366629.73850053,2987694.03160562,1378935.7068949,0.1,0.2,0.3,0.3,2101296.54483206,17619.5286432437,2273.62731933006,2420.77711531044,1003.2274586514,829.509351379485,1428.78266966089,170.081376524737,768.833852014342,270.34105252,81.34065510091,189.038197622625,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,5253.24136208016,613.841019697779,767.301274622224,344.325512778723,2790,31.464068212561
300,447.063628623853,18731.4043235348,62.3666577953044,24.9733173197524,3.82778274544175,1.5,11.7328126932204,4,15.3712048977284,0.564433129961166,19.0266284570032,3240775.50075087,3890486.79561929,2661912.01805531,1228574.77756399,0.1,0.3,0.3,0.3,1515042.93071926,15284.3106530077,1916.50318419424,2420.77711531044,843.21906287329,739.057088666784,1281.57241144347,160.949148768117,672.191508824382,270.34105252,72.4711650788559,188.893355481303,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3787.60732679816,657.093670527147,821.367088158933,410.028726833327,2790,28.4922772138926
300,447.063628623853,23736.7533775817,79.0409687278944,28.1142257101088,4.25630768876032,1.5,16.8784912455771,4,21.8411368761858,0.564433129961166,19.7154512636528,4107227.22788365,4930644.93143295,3373599.16361202,1557045.76782093,0.3,0.1,0.1,0.3,2777977.83645488,20380.3891630945,2721.15245930439,2420.77711531044,1205.34763490271,936.655065092469,1602.0901747632,180.249795451746,887.048646686208,270.34105252,91.8470108094073,189.207384068074,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,6944.94459113719,566.364214487198,707.955268108998,269.979301400421,2790,34.8784401171963
