W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
350,447.0636286,24460.89447,69.83254162,25.06976016,4.267690324,13.17713714,19.1733727,0.65875266,19.09812743,5521122.467,6627998.159,4534946.109,2093052.05,0.1,0.1,0.3,0.3,2957040.163,20978.04924,2671.483295,2420.777115,1007.568608,965.4556966,2118.035068,161.5433089,769.0488967,270.3410525,81.14665481,189.3209045,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7392.600408,692.8452281,866.0565351,346.7438691,2790,35.85641107
350,447.0636286,23459.23142,66.9706571,24.55068052,4.189136932,12.35414048,18.01807069,0.65875266,18.99518997,5294855.248,6356368.845,3680003.016,2676365.83,0.3,0.1,0.3,0.4,2765170.381,19981.06075,2511.600293,2420.777115,945.8455831,925.8884724,1905.238543,158.3441935,732.2999487,270.3410525,77.82109411,189.2502661,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6912.925953,688.170671,860.2133387,354.3842904,2790,34.62550482
350,447.0636286,23966.84921,68.4224164,24.81535306,4.229184566,12.77149487,18.60427039,0.65875266,19.04810804,5409634.701,6494159.305,4443372.156,2050787.149,0.3,0.1,0.1,0.3,2834672.659,20481.05596,2592.033225,2420.777115,977.2005938,945.9598835,2077.61319,159.9757524,750.9549571,270.3410525,79.50806423,189.2822426,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,7086.681647,695.7932531,869.7415664,355.5901138,2790,35.22904677
350,447.0636286,23228.60977,66.31676556,24.43053192,4.170961338,12.17006199,17.75950109,0.65875266,18.96990755,5243157.069,6294306.205,3644072.013,2650234.191,0.1,0.2,0.1,0.4,2705984.976,19746.80811,2475.282733,2420.777115,932.1901162,916.8480499,1887.737349,157.6032893,724.0362648,270.3410525,77.06126052,189.2402026,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6764.962441,691.8016621,864.7520777,360.6720275,2790,34.32179467
300,447.0636286,22786.21747,75.88042114,26.13281061,4.42870091,15.06513607,21.82217421,0.564645137,19.25493858,3942994.839,4733487.202,2740439.959,1993047.243,0.3,0.2,0.3,0.4,2517718.221,19317.62292,2614.344323,2420.777115,1148.41002,899.2010411,1444.287862,168.0859197,849.7991242,270.3410525,88.17439832,189.1782773,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6294.295553,678.5945465,848.2431831,370.1991829,2790,33.69420612
300,447.0636286,23007.70076,76.61309218,26.25867151,4.447775228,15.29329196,22.14143632,0.564645137,19.27878588,3981066.823,4779191.864,3269973.381,1509218.483,0.1,0.2,0.3,0.3,2528479.648,19529.61688,2651.112727,2420.777115,1165.304672,907.8835433,1555.657567,168.859754,859.5318409,270.3410525,89.0257751,189.1954766,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6321.199121,688.0838775,860.1048469,376.8576197,2790,33.95988777
350,447.0636286,21872.51185,62.42638994,23.70311181,4.060977757,11.09403334,16.24611195,0.65875266,18.81166606,4935574.963,5925059.979,3430297.883,2494762.096,0.1,0.2,0.3,0.4,2360051.141,18371.9595,2262.938681,2420.777115,850.9007432,863.0614698,1783.421805,153.1141515,674.8574548,270.3410525,72.54057489,189.1503675,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5900.127853,710.5523531,888.1904414,395.3346845,2790,32.62017595
350,447.0636286,22284.73199,63.61837682,23.92833867,4.09502046,11.42429334,16.71119874,0.65875266,18.86094614,5029816.206,6038194.725,4131396.391,1906798.334,0.3,0.1,0.3,0.3,2409961.807,18776.34272,2326.664408,2420.777115,876.1606582,879.5413296,1939.592716,154.5047365,690.0304882,270.3410525,73.92568484,189.1717775,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,6024.904518,718.3892697,897.9865871,397.8534724,2790,33.13242627
300,447.0636286,21588.43522,71.89431393,25.43715443,4.323316184,13.86604346,20.14353828,0.564645137,19.11439273,3735863.673,4484830.339,2596480.723,1888349.617,0.1,0.3,0.3,0.4,2219960.225,18103.12517,2413.622408,2420.777115,1058.833117,851.9638241,1372.964325,163.8058148,797.5427645,270.3410525,83.54247089,189.1034822,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5549.900562,695.3100538,869.1375672,399.94999,2790,32.1779244
350,447.0636286,21553.9768,61.52442873,23.5312528,4.035008366,10.84995435,15.90237644,0.65875266,18.77135743,4864263.82,5839452.365,3380735.58,2458716.785,0.3,0.2,0.1,0.4,2278135.788,18050.8104,2214.681959,2420.777115,832.8118289,850.591379,1759.188534,152.0526769,663.6806363,270.3410525,71.49247993,189.125039,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,5695.339471,713.1663933,891.4579916,401.6806893,2790,32.20352546
