W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,Wbatt/MTOW,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
330,398.7697181,31476.76863,95.31086832,32.37930746,4.310859675,19.06217366,28.59326049,0.621109651,0.028613423,0.017130815,0.011482607,21.70693302,6416431.93,7702799.436,3851399.718,4054104.966,0.1,0.1,0.1,0.5,4435805.617,26937.99591,4298.183287,2185.311504,1486.788194,1242.411628,2197.697303,206.3085307,1075.337905,10292.10751,0.326974717,818.7727209,1023.465901,227.0932012,3720,35.24075511,1709.906912,2217.902808,701.4290452,0.270801506,0.758437501,717.6145158
290,398.7697181,32855.13323,113.2325935,35.29247127,4.660860546,22.6465187,33.96977805,0.545823633,0.024768994,0.015901342,0.008867652,22.03656881,5368629.824,6444933.762,3866960.257,2713656.321,0.1,0.1,0.1,0.4,4570754.272,28323.71145,5017.690343,2185.311504,1766.35557,1297.116919,1979.562053,224.0193134,1273.700365,10605.21999,0.322787307,811.4217829,1014.277229,228.0107099,3720,36.55133317,1719.008961,2285.377136,714.1088193,0.273247681,0.75538557,720.5138432
280,398.7697181,32955.61096,117.6330805,35.97170951,4.74254611,23.52661609,35.28992414,0.527002128,0.023911706,0.015645072,0.008266634,22.03950386,5073766.752,6090956.485,3045478.242,3205766.571,0.2,0.1,0.2,0.5,4581109.599,28429.35316,5184.819652,2185.311504,1835.000334,1301.059659,1763.515354,228.1393465,1322.406135,10629.24677,0.322532232,806.2577975,1007.822247,228.5199877,3720,36.32903069,1719.792044,2290.554799,714.6092267,0.273391821,0.753702124,722.123161
280,398.7697181,32889.82804,117.3992035,35.93593242,4.738242874,23.4798407,35.21976105,0.527002128,0.023919286,0.015652652,0.008266634,22.03251966,5063679.138,6078846.504,3039423.252,3199392.897,0.2,0.12,0.1,0.5,4562704.794,28362.74363,5173.513978,2185.311504,1831.352005,1298.47283,1760.231041,227.9224205,1319.817522,10586.54331,0.32187895,807.0844101,1008.855513,230.3171539,3720,36.26423655,1719.865282,2281.352397,713.6264854,0.273289681,0.747820981,727.8022064
310,398.7697181,31683.09608,102.1386137,33.51902073,4.447719588,20.42772274,30.64158411,0.583466642,0.02669436,0.016561407,0.010132953,21.85730016,5800747.697,6963682.709,3481841.355,3665096.163,0.1,0.1,0.2,0.5,4412440.057,27152.95554,4560.49989,2185.311504,1593.296627,1250.722247,1999.292709,213.2455155,1150.909222,10237.89395,0.323134264,810.140539,1012.675674,230.5192762,3720,35.29984293,1712.177217,2206.220029,701.0622159,0.271015273,0.747165282,728.4409127
280,398.7697181,32813.53381,117.1279406,35.89439158,4.73324647,23.42558812,35.13838218,0.527002128,0.023928111,0.015661477,0.008266634,22.02439365,5051978.988,6064800.705,3032400.353,3192000.371,0.3,0.1,0.1,0.5,4541379.977,28285.5416,5160.40708,2185.311504,1827.120478,1295.472488,1756.42126,227.6705355,1316.815112,10537.06474,0.321119475,807.992206,1009.990257,232.3521884,3720,36.1891045,1719.936518,2270.689988,712.4869544,0.273169708,0.741271262,734.2329153
310,398.7697181,31610.1197,101.9044163,33.48057018,4.443100776,20.38088326,30.57132489,0.583466642,0.026704189,0.016571236,0.010132953,21.84925513,5787446.948,6947715.424,3473857.712,3656692.328,0.1,0.12,0.1,0.5,4391526.591,27079.06416,4549.054538,2185.311504,1589.643298,1247.854339,1994.994266,213.0116533,1148.317063,10189.36981,0.322345183,811.0555345,1013.819418,232.5640326,3720,35.22693316,1712.269884,2195.763295,699.9557471,0.270901419,0.740596033,734.9023432
290,398.7697181,32299.84314,111.2957799,34.98933522,4.624414068,22.25915599,33.38873398,0.545823633,0.024837226,0.015969574,0.008867652,21.97603078,5276800.831,6334694.875,3167347.438,3334049.934,0.1,0.1,0.3,0.5,4471902.399,27772.57021,4923.887193,2185.311504,1736.142526,1274.929446,1829.542319,222.1794686,1252.263193,10375.8605,0.321235631,807.2729271,1009.091159,232.6368233,3720,35.76048942,1716.722332,2235.9512,706.6951527,0.272158304,0.740364305,735.1323615
290,398.7697181,32232.69517,111.0655855,34.95313205,4.620061685,22.21311709,33.31967564,0.545823633,0.024845476,0.015977824,0.008867652,21.96873351,5265886.757,6321592.745,3160796.373,3327154.076,0.1,0.12,0.2,0.5,4452924.018,27704.56719,4912.730806,2185.311504,1732.55164,1272.292418,1825.996701,221.9596914,1249.715339,10331.82621,0.3205387,808.1279892,1010.159987,234.4970744,3720,35.69394011,1716.802959,2226.462009,705.6856477,0.272053987,0.73449104,741.010755
310,398.7697181,31525.42736,101.6325999,33.4358879,4.437733519,20.32651999,30.48977998,0.583466642,0.026715648,0.016582695,0.010132953,21.83988372,5772009.71,6929183.325,3464591.662,3646938.592,0.2,0.1,0.1,0.5,4367281.324,26993.37207,4535.777857,2185.311504,1585.403138,1244.525763,1990.004686,212.739874,1145.308526,10133.11511,0.321426733,812.0552889,1015.069111,234.8767949,3720,35.14233461,1712.360662,2183.640662,698.6719009,0.270767433,0.733303603,742.2106718
300,398.7697181,32181.40425,107.1943427,34.33857554,4.546191672,21.43886854,32.15830281,0.564645137,0.025726595,0.016236837,0.009489758,21.94791542,5570168.612,6686877.085,4012126.251,2815527.194,0.1,0.1,0.1,0.4,4442473.436,27644.57644,4767.024578,2185.311504,1672.162745,1270.288984,2049.432899,218.2273899,1206.867386,10307.57842,0.320296104,816.8278113,1021.034764,236.57025,3720,35.96971931,1717.043815,2221.236718,705.8019584,0.272094098,0.728054352,747.5619899
290,398.7697181,32154.79514,110.798512,34.91108179,4.615006461,22.15970239,33.23955359,0.545823633,0.024855086,0.015987434,0.008867652,21.96023947,5253224.159,6306391.548,3153195.774,3319153.446,0.2,0.1,0.2,0.5,4430929.183,27625.7294,4899.793298,2185.311504,1728.385465,1269.232917,1821.882534,221.7044059,1246.759298,10280.79305,0.319728146,809.0657408,1011.332176,236.602662,3720,35.6167509,1716.88189,2215.464592,704.5147512,0.271931356,0.727954616,747.6644121
