W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
280,398.769718124363,22164.5324459304,79.105113607764,28.1256313009618,4.33397280980128,15.8210227215528,23.7315340823292,0.527002128150666,0.0264849523646436,0.0174495842737756,0.00903536809086797,19.8981716445975,3411973.00769913,4096006.01164362,2371371.90147788,1724634.11016573,0.1,0.1,0.3,0.4,1836490.95097447,17903.1810654745,3024.0847160987,2263.63677369088,1233.98885218057,874.91964549701,1260.98967703997,180.319702418459,895.968266458846,4261.08895397504,541.351380455881,676.689225569851,115.436107647874,3720,25.8600453167519,1868.54265405821,918.245475487233,670.486521136436,0.30797483513935,0.805640469823243,364.778100167283
280,398.769718124363,21421.1087846112,76.4334670886162,27.6466032431864,4.26882477757152,15.2866934177232,22.9300401265849,0.527002128150666,0.0266706493607005,0.0176352812698326,0.00903536809086797,19.7596286848272,3296739.1701669,3957670.07222917,2291282.67339584,1666387.39883334,0.1,0.2,0.3,0.4,1636059.24914981,17140.6068721906,2873.41970094541,2263.63677369088,1192.31288622542,845.37010018162,1221.01014515049,177.382570734815,866.397766370681,3796.04048193204,560.501912420613,700.627390525766,146.24134575811,3720,25.049747575396,1875.68210865231,818.029624574904,655.773264244917,0.307056160971793,0.635935066912107,462.122652595627
280,398.769718124363,20741.1385431819,74.0242468593792,27.2073973138518,4.20912466989641,14.8048493718758,22.2072740578138,0.527002128150666,0.0268486341113878,0.0178132660205198,0.00903536809086797,19.628638312261,3192824.34068422,3832922.37777217,2219060.32397336,1613862.05379881,0.1,0.3,0.3,0.4,1449805.78512535,16442.1238060755,2739.63746641546,2263.63677369088,1154.73060146861,818.723134530201,1184.88989920673,174.687638449707,839.731870830059,3363.88884090539,579.014737106319,723.768421382899,175.241767893331,3720,24.3026426985349,1882.57765606689,724.902892562676,642.231524168921,0.306250002417492,0.530695399378811,553.763986542925
280,398.769718124363,20094.6081106212,71.693758096663,26.7756901118651,4.15047546316604,14.3387516193326,21.5081274289989,0.527002128150666,0.0270312520799999,0.0179958839891319,0.00903536809086797,19.4960309863186,3092305.36800995,3712251.3421488,2149198.14545457,1563053.19669423,0.1,0.4,0.3,0.4,1274092.0759209,15778.7425189655,2612.27828807177,2263.63677369088,1118.37647690995,792.947001413392,1149.88639762285,172.036851755665,813.937396273093,2956.19189856229,595.86559165578,744.831989569725,202.276554679698,3720,23.5875525887108,1888.85804159442,637.046037960451,629.283152400394,0.305441200382704,0.459766581190114,639.193912787846
280,398.769718124363,19501.0969378804,69.5930839628833,26.3805011254304,4.09681637300861,13.9186167925767,20.877925188865,0.527002128150666,0.0272055052135463,0.0181701371226783,0.00903536809086797,19.3711575658686,3001698.79258718,3603479.94308185,2086225.23020528,1517254.71287657,0.1,0.5,0.3,0.4,1109849.44922361,15168.7131364505,2499.09553666933,2263.63677369088,1085.60731263062,769.712734966174,1118.27895907937,169.608647242918,790.68657165504,2575.1105531735,612.38380142995,765.479751787438,227.947811471724,3720,22.9259804756241,1895.00632709374,554.924724611804,617.327801670368,0.304736824877869,0.407988124121719,720.315084250648
280,398.769718124363,21299.4970438494,76.0028992151848,27.5686233271059,4.25822287995161,15.200579843037,22.8008697645554,0.527002128150666,0.0267016965300242,0.0176663284391562,0.00903536809086797,19.7366533455314,3278167.85542972,3935375.57674636,2278375.33390579,1657000.24284057,0.3,0.1,0.3,0.4,1602912.67914399,17015.9739218604,2849.3772174428,2263.63677369088,1185.59630455719,840.607840260361,1214.5596481546,176.904230628854,861.632125688797,3719.13267945199,563.52312198901,704.403902486262,151.143819819539,3720,24.9168150431255,1876.78302341208,801.456339571996,653.362289995095,0.306897255607722,0.615307990171474,477.614470629744
280,398.769718124363,20627.4555065656,73.6210456894208,27.1331984272811,4.19904216647737,14.7242091378842,22.0863137068262,0.527002128150666,0.0268794667648743,0.0178440986740063,0.00903536809086797,19.6061228729189,3175433.41049237,3812044.91055506,2206973.36926872,1605071.54128634,0.3,0.2,0.3,0.4,1418711.39786376,16325.6119783068,2717.46785192475,2263.63677369088,1148.44092275856,814.263567017319,1178.83843991858,174.232171848539,835.269132160721,3291.74258283606,581.843528258793,727.304410323492,179.834077368014,3720,24.1774848696347,1883.60744395543,709.355698931878,639.964710827982,0.306099955811692,0.517143365490647,568.275684482924
280,398.769718124363,19988.6956647601,71.3191865080726,26.7056523058458,4.14096361020848,14.2638373016145,21.3957559524218,0.527002128150666,0.0270616287369853,0.0180262606461174,0.00903536809086797,19.4741467068613,3076149.29299236,3692856.29410848,2137969.43343122,1554886.86067725,0.3,0.3,0.3,0.4,1244927.32382106,15670.1521343785,2591.99428022312,2263.63677369088,1112.53340124033,788.804093352588,1144.25439839166,171.606626151996,809.791537487489,2888.52284582227,598.543530381665,748.179412977081,206.593140854467,3720,23.4701021454199,1889.83189950759,622.46366191053,627.159283138128,0.30530170826536,0.450160153504384,652.834325100117
280,398.769718124363,19401.5599689722,69.2404008795357,26.313570810427,4.08773136555521,13.8480801759071,20.7721202638607,0.527002128150666,0.0272357170583461,0.0182003489674781,0.00903536809086797,19.3496696643488,2986486.81568995,3585218.2661344,2075652.6803936,1509565.5857408,0.3,0.4,0.3,0.4,1082360.62485544,15066.6590860559,2480.26875272802,2263.63677369088,1080.10568355311,765.811926347461,1112.96705125974,169.197241857936,786.782980714966,2511.33004512863,614.900882916372,768.626103645465,232.009399394301,3720,22.8148504481668,1895.92064447071,541.180312427719,615.321201097073,0.304604334971648,0.400845828844831,733.149702085991
280,398.769718124363,18838.8002427317,67.2023485963051,25.9234157850205,4.03478940541495,13.440469719261,20.1607045788915,0.527002128150666,0.0274160371198342,0.0183806690289662,0.00903536809086797,19.222403509565,2898581.25482897,3479689.38154738,2014557.01036954,1465132.37117784,0.3,0.5,0.3,0.4,928410.109961065,14489.1404287803,2372.37039132368,2263.63677369088,1048.31337983255,743.270308690385,1082.24032787839,166.798127395962,764.225271531127,2154.12880864712,629.659813951396,787.074767439245,255.692934478575,3720,22.1830010874931,1901.41904361081,464.205054980533,603.916704349122,0.303887947206251,0.363717519960618,807.989672952297
280,398.769718124363,20502.2643543322,73.1342167295581,27.0433386861826,4.18683284246501,14.6268433459116,21.9402650188674,0.527002128150666,0.0269171113653397,0.0178817432744717,0.00903536809086797,19.5787029669636,3154435.43457574,3786837.25639345,2192379.46422778,1594457.79216566,0.5,0.1,0.3,0.4,1386846.54814482,16198.2635025169,2690.8567206644,2263.63677369088,1140.84670435736,808.879043612151,1171.52933529043,173.680498387023,829.880778687548,3217.80867148987,584.000851815331,730.001064769164,184.155051759826,3720,24.0399408290711,1884.39357112924,693.423274072412,637.46789216333,0.305892455269746,0.505009225167985,581.929963561051
