n,Carico Alare,W_S_max,MTOW,S,b,c root,S_vert,S_orizz,C_L cruise,C_D,C_D_0,C_D_i,E cruise,P_curr,P tot inst,P ice inst,P em inst,Phi climb,Phi cruise,Phi descent,H_P,E batt inst,OEW,W wing,W fus,W tail,W LG,W propuls,W fuelsys,W hydr,W battery,Wfuel,V fuel,W block fuel,W payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
13,350,398.7697181,29410.27286,84.08809436,30.41330363,4.075027144,16.81761887,25.22642831,0.65875266,0.03094056,0.018023945,0.012916615,21.29090952,6648199.48,7981031.789,5586722.252,2520325.828,0.1,0.1,0.1,0.3,3733587.529,24785.34736,3806.748947,2185.311504,1311.720144,1162.548076,2570.072529,194.316734,951.1212336,8662.797152,904.9255018,1131.156877,329.4144294,3720,33.85513705,1724.671081,1866.793765,670.3223331,0.26896618,0.522855056,1040.949597
14,300,398.7697181,29152.39841,97.09712397,32.68131521,4.347116004,19.41942479,29.12913719,0.564645137,0.026149386,0.016659628,0.009489758,21.593055,5045484.104,6057003.727,3634202.236,2550317.359,0.3,0.1,0.3,0.4,3582092.345,24567.1821,4279.014773,2185.311504,1514.652632,1150.630475,1867.245442,208.1477638,1095.108662,8311.292857,865.2163121,1081.52039,331.1043522,3720,32.89672419,1723.457561,1791.046172,659.6096122,0.267626822,0.520186457,1046.289753
15,350,398.7697181,29674.23041,82.80528837,30.18042697,4.047115952,16.56105767,24.84158651,0.65875266,0.031018595,0.018101979,0.012916615,21.23734712,6546777.868,7859277.153,4715566.292,3309169.327,0.1,0.1,0.3,0.4,3595204.361,25039.74862,4620.921862,2185.311504,1291.709197,1144.81237,2386.265654,192.8940652,936.922793,8341.715803,914.4817814,1143.102227,346.3511293,3720,33.76786528,1731.0441,1797.60218,674.4250644,0.270142644,0.497287248,1094.469569
16,325,398.7697181,28574.08435,87.85650919,31.08732219,4.155840397,17.57130184,26.35695276,0.611698899,0.028580947,0.017443661,0.011137286,21.4023313,5673586.668,6811028.413,4767719.889,2150851.078,0.1,0.1,0.3,0.3,3453252.195,23961.41613,3916.782535,2185.311504,1370.50499,1127.886336,2212.293563,198.4316993,992.8310595,8012.353545,892.6682266,1115.835283,350.1817312,3720,32.75123919,1724.932046,1726.626097,653.6528067,0.267123441,0.491847474,1106.574271
17,300,398.7697181,28516.65327,94.99067755,32.3248736,4.304325601,18.99813551,28.49720326,0.564645137,0.026247702,0.016757944,0.009489758,21.51217414,4936026.26,5925601.752,3555361.051,2494990.211,0.1,0.2,0.1,0.4,3400247.144,23920.61346,4178.285299,2185.311504,1481.793424,1125.667817,1829.116917,205.9769474,1071.793948,7889.369418,876.0398078,1095.04976,351.551612,3720,32.24328906,1724.933588,1700.123572,649.7975915,0.26669066,0.489930907,1110.903094
18,325,398.7697181,28187.45224,86.67551072,30.87767183,4.130699234,17.33510214,26.00265322,0.611698899,0.028646822,0.017509536,0.011137286,21.35311564,5597320.296,6719472.144,4703630.501,2121938.572,0.3,0.1,0.1,0.3,3342835.893,23570.71784,3859.724679,2185.311504,1352.082174,1112.72451,2184.17885,197.152183,979.7594517,7756.161876,896.7343987,1120.917998,360.4071736,3720,32.34914575,1725.216148,1671.417947,647.6762389,0.266484157,0.477892819,1138.886668
19,325,398.7697181,27761.87253,85.37479522,30.64510968,4.102815292,17.07495904,25.61243857,0.611698899,0.02872128,0.017583994,0.011137286,21.29775887,5513322.853,6618634.878,3971180.927,2786793.633,0.3,0.1,0.3,0.4,3278773.384,23150.79143,3797.218189,2185.311504,1331.79185,1096.025751,2029.738623,195.7323864,965.3627838,7607.521858,891.0810986,1113.851373,361.8057562,3720,31.65987429,1722.812342,1639.386692,642.065691,0.265584117,0.476045494,1143.30619
20,280,398.7697181,28936.39451,103.2867801,33.70689219,4.470288855,20.65735602,30.98603403,0.527002128,0.024432618,0.016165984,0.008266634,21.56961386,4454980.086,5348115.349,3208869.209,2251838.042,0.1,0.2,0.3,0.4,3402489.977,24333.79493,4498.348146,2185.311504,1611.207284,1142.380922,1661.006258,214.3880093,1163.617436,7894.573317,882.5995757,1103.24947,363.7701207,3720,32.50584505,1731.032913,1701.244989,652.8196309,0.267715022,0.473474841,1149.513581
21,350,398.7697181,28919.65004,84.1975798,30.43309675,4.077399675,16.83951596,25.25927394,0.65875266,0.030933999,0.018017384,0.012916615,21.29542482,6656855.653,7991423.353,4794854.012,3364809.833,0.3,0.1,0.1,0.4,3563944.004,24255.11062,3811.452737,2185.311504,1313.428047,1164.061791,2424.065232,194.4376302,952.3330479,8269.184458,944.5394186,1180.674273,367.39701,3720,33.04473142,1731.921106,1781.972002,663.8424286,0.269052668,0.468800767,1160.974552
22,300,398.7697181,28182.80421,93.88383245,32.13599472,4.281655009,18.77676649,28.16514973,0.564645137,0.026300952,0.016811194,0.009489758,21.46861982,4878510.968,5856555.784,4099589.049,1849438.669,0.3,0.1,0.3,0.3,3252798.688,23569.55191,4125.300373,2185.311504,1464.527353,1112.551047,1918.248202,204.8262026,1059.54309,7547.254482,893.2523068,1116.565384,373.5047441,3720,32.11550577,1728.787433,1626.399344,643.7290217,0.266441939,0.461134705,1180.274992
