n,Carico Alare,W_S_max,MTOW,S,b,c root,S_vert,S_orizz,C_L cruise,C_D,C_D_0,C_D_i,E cruise,P_curr,P tot inst,P ice inst,P em inst,Phi climb,Phi cruise,Phi descent,H_P,E batt inst,OEW,W wing,W fus,W tail,W LG,W propuls,W fuelsys,W hydr,W battery,Wfuel,V fuel,W block fuel,W payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
50,300,398.7697181,24319.72373,80.98302041,29.84649434,4.00710234,16.19660408,24.29490612,0.564645137,0.027017719,0.017527961,0.009489758,20.89906785,4208142.584,5051791.818,3031075.091,2127070.239,0.3,0.3,0.3,0.4,2044952.112,19620.40521,3848.608966,2185.311504,1263.282989,959.6693518,1574.374582,190.8531905,916.7534425,4744.767652,979.3185255,1224.148157,518.1284297,3720,27.8165959,1742.997747,1022.476056,583.4586188,0.261269229,0.332419512,1637.285838
51,350,398.7697181,24365.10757,69.54701433,27.65894354,3.745287124,13.90940287,20.8641043,0.65875266,0.031976755,0.01906014,0.012916615,20.60098504,5498548.017,6600897.98,3960538.788,2779325.465,0.3,0.2,0.3,0.4,2125460.387,19634.59212,3555.544996,2185.311504,1084.888656,961.5081119,2024.618157,177.4582624,790.1766606,4931.565697,1010.515445,1263.144307,518.9230202,3720,28.19405753,1743.519987,1062.730193,591.0640216,0.262181992,0.331910502,1639.796744
52,325,398.7697181,23909.16783,73.50362771,28.43483611,3.838083648,14.70072554,22.05108831,0.611698899,0.029510439,0.018373154,0.011137286,20.72822058,4746708.082,5698329.03,3418997.418,2399296.434,0.1,0.3,0.3,0.4,1989862.121,19196.30996,3596.492151,2185.311504,1146.609278,943.6226989,1763.064393,182.2144021,833.9695185,4616.945976,992.8578786,1241.072348,524.0620438,3720,27.54432433,1741.877691,994.9310607,580.4332306,0.260803681,0.328655742,1656.036058
53,280,398.7697181,23844.28362,85.07709996,30.59163447,4.0964044,17.01541999,25.52312999,0.527002128,0.025316653,0.01705002,0.008266634,20.8164215,3669557.572,4405231.179,3083661.825,1391125.635,0.3,0.3,0.3,0.3,1932755.696,19153.73566,3650.476298,2185.311504,1327.147995,940.9724922,1466.393146,195.4058523,962.0678128,4484.445699,970.5479551,1213.184944,527.1175445,3720,27.37000287,1742.282363,966.3778479,572.6864945,0.259979141,0.326750649,1665.691441
54,325,398.7697181,24168.62172,74.29524397,28.58754421,3.856356392,14.85904879,22.28857319,0.611698899,0.029450682,0.018313396,0.011137286,20.7702796,4797828.978,5759698.653,4031789.057,1818852.206,0.3,0.2,0.3,0.3,2005012.87,19447.12064,3653.790552,2185.311504,1158.957982,953.7855031,1888.284335,183.1498093,842.7313395,4652.09926,1001.501075,1251.876344,528.2584684,3720,28.0342076,1744.771505,1002.506435,583.6554226,0.26149053,0.326044939,1669.29676
55,350,398.7697181,24588.71333,70.21076747,27.79061788,3.761029842,14.04215349,21.06323024,0.65875266,0.031920961,0.019004346,0.012916615,20.63699322,5551025.878,6663896.612,4664727.629,2104388.404,0.1,0.2,0.3,0.3,2120582.754,19843.99588,3605.306993,2185.311504,1095.242778,970.6848949,2167.103989,178.2658215,797.5232584,4920.248448,1024.717444,1280.896805,528.8119963,3720,28.67455251,1747.734576,1060.291377,593.5394798,0.262933308,0.325703655,1671.045908
56,325,398.7697181,23642.00612,72.68800459,28.27663436,3.819156555,14.53760092,21.80640138,0.611698899,0.029573255,0.018435969,0.011137286,20.68419267,4694036.874,5635098.288,3381058.973,2372672.963,0.3,0.3,0.1,0.4,1922729.336,18928.56305,3537.067258,2185.311504,1133.886082,933.1516984,1744.663098,181.2451106,824.9419831,4461.182196,993.4430646,1241.803831,528.9807753,3720,27.2605715,1741.435662,961.3646678,576.1922763,0.260277766,0.325599735,1671.57925
57,300,398.7697181,23808.11016,79.29250337,29.53332926,3.96958776,15.85850067,23.78775101,0.564645137,0.027127254,0.017637496,0.009489758,20.81468068,4120297.79,4946335.883,2967801.53,2082667.74,0.1,0.4,0.1,0.4,1917124.543,19104.42834,3729.138385,2185.311504,1236.912012,939.6358754,1543.47886,188.9383265,898.0423466,4448.177765,983.6818255,1229.602282,530.3766423,3720,27.27486914,1742.935673,958.5622716,575.360186,0.260352775,0.324742808,1675.99019
58,350,398.7697181,23706.25385,67.67991317,27.2851433,3.700609142,13.53598263,20.30397395,0.65875266,0.032139078,0.019222463,0.012916615,20.49693716,5350930.675,6423686.285,3854211.771,2704710.015,0.1,0.3,0.1,0.4,1957115.666,18970.73785,3413.589912,2185.311504,1055.76308,935.694345,1973.419593,175.1648201,769.5110843,4540.966532,1015.516007,1269.395009,534.9445134,3720,27.48752587,1743.507501,978.5578329,580.5065285,0.260994946,0.321969841,1690.424662
59,300,398.7697181,24028.59738,80.02130575,29.66874388,3.985808031,16.00426115,24.00639172,0.564645137,0.027079515,0.017589757,0.009489758,20.85137579,4158168.746,4991799.214,3494259.45,1576357.647,0.1,0.3,0.3,0.3,1927884.415,19315.99464,3779.658076,2185.311504,1248.28086,948.2725476,1649.800976,189.7664352,906.1089268,4473.143187,992.6027353,1240.753419,535.5981667,3720,27.69374782,1745.851247,963.9422074,578.0476515,0.260982016,0.321576904,1692.490207
60,280,398.7697181,23411.87477,83.23835023,30.25924408,4.056561893,16.64767005,24.97150507,0.527002128,0.025425242,0.017158608,0.008266634,20.72751695,3590248.357,4310022.038,2586013.223,1814746.121,0.3,0.4,0.3,0.4,1777124.081,18710.76362,3752.301994,2185.311504,1298.464683,920.635075,1356.264818,193.3756214,941.7160377,4123.343918,981.1111522,1226.38894,545.2720595,3720,26.72790205,1744.367155,888.5620407,566.238158,0.2594891,0.315871677,1723.059708
61,300,398.7697181,22916.42481,76.34147841,28.97854832,3.903155829,15.26829568,22.90244352,0.564645137,0.027329047,0.017839289,0.009489758,20.6609887,3966952.883,4762248.358,2857349.015,2005157.204,0.1,0.4,0.3,0.4,1693265.767,18204.86337,3523.537988,2185.311504,1190.877922,904.6647898,1489.460297,185.5438898,865.379611,3928.772995,991.56144,1239.4518,552.0253715,3720,26.32438806,1742.882346,846.6328833,561.1651075,0.258752629,0.312007398,1744.400174
62,325,398.7697181,22632.93687,69.57231934,27.663975,3.745888633,13.91446387,20.8716958,0.611698899,0.02982561,0.018688325,0.011137286,20.50918305,4492832.541,5393556.472,3236133.883,2270971.146,0.3,0.3,0.3,0.4,1667784.721,17911.71516,3312.666379,2185.311504,1085.283398,893.1524582,1674.268143,177.4891235,790.4567433,3869.651004,1001.221712,1251.52714,553.1809398,3720,26.17634657,1741.282763,833.8923605,560.0000361,0.258442149,0.31135563,1748.05177
63,300,398.7697181,22691.57563,75.56130152,28.83009394,3.885385153,15.1122603,22.66839046,0.564645137,0.027384801,0.017895043,0.009489758,20.61892406,3926412.34,4713580.24,2828148.144,1984665.364,0.3,0.4,0.1,0.4,1639494.606,17980.38811,3470.00624,2185.311504,1178.707665,895.4193222,1475.160364,184.6350864,856.744404,3804.011315,991.1875274,1238.984409,555.3624895,3720,26.08533535,1742.279581,819.7473032,557.5935597,0.258283839,0.310132577,1754.945467
64,350,398.7697181,22567.4442,64.41925827,26.6197641,3.621129788,12.88385165,19.32577748,0.65875266,0.03244323,0.019526614,0.012916615,20.30478068,5093135.748,6114208.581,3668525.149,2574403.613,0.1,0.3,0.3,0.4,1666606.589,17823.84657,3170.311078,2185.311504,1004.898962,890.6139532,1883.830839,171.0789675,733.4212815,3866.917462,1023.597626,1279.497033,562.3095171,3720,26.25621882,1743.349532,833.3032944,562.1250954,0.258912906,0.306301058,1776.898074
65,300,398.7697181,22713.85941,75.63485973,28.84412344,3.887064439,15.12697195,22.69045792,0.564645137,0.0273795,0.017889741,0.009489758,20.62291662,3930234.665,4718168.865,3302718.206,1489948.063,0.3,0.3,0.3,0.3,1603261.214,17992.85019,3474.305756,2185.311504,1179.855125,896.2910218,1564.387629,184.7209805,857.5585659,3719.941363,1001.009223,1251.261529,564.5627859,3720,26.28481596,1744.960365,801.6306071,557.1822078,0.258538705,0.305078557,1784.018404
66,325,398.7697181,22134.42046,68.051575,27.35995842,3.709549777,13.610315,20.4154725,0.611698899,0.029956474,0.018819188,0.011137286,20.41958936,4394626.103,5275661.588,3165396.953,2221331.195,0.1,0.4,0.1,0.4,1539761.787,17408.69509,3204.844587,2185.311504,1061.560765,873.6291326,1639.848336,175.6239566,773.624737,3572.607826,1005.725368,1257.15671,565.6889758,3720,25.63656407,1741.341275,769.8808936,551.9502513,0.257544701,0.304471198,1787.577163
67,350,398.7697181,22298.72824,63.65799747,26.46200998,3.602295816,12.73159949,19.09739924,0.65875266,0.032518364,0.019601749,0.012916615,20.25786575,5032948.706,6041955.229,3625173.137,2543981.149,0.3,0.3,0.1,0.4,1597842.73,17554.81164,3114.472935,2185.311504,993.0237837,880.0891065,1862.881076,170.1096016,724.9954428,3707.36921,1023.916598,1279.895747,567.1734543,3720,25.965562,1742.865214,798.9213649,557.7908054,0.258371759,0.303674297,1792.268116
68,325,398.7697181,22350.22364,68.71013281,27.49202541,3.725334083,13.74202656,20.61303984,0.611698899,0.029899149,0.018761864,0.011137286,20.45873913,4437154.367,5326715.927,3728701.149,1682120.819,0.1,0.3,0.3,0.3,1547816.129,17614.88283,3250.563884,2185.311504,1071.833843,882.0836999,1754.024666,176.4343099,780.9138315,3591.295784,1015.340806,1269.176007,571.5332613,3720,26.06709147,1744.413522,773.9080644,554.5600788,0.258182818,0.301357789,1806.045106
69,350,398.7697181,23255.04858,66.39972383,27.02585729,3.669629811,13.27994477,19.91991715,0.65875266,0.032255214,0.019338599,0.012916615,20.42313721,5249715.942,6302180.002,5041744.002,1326774.737,0.1,0.2,0.3,0.2,1729647.143,18489.83314,3315.503988,2185.311504,1035.79295,917.9949951,2173.325808,173.573166,755.3416054,4013.186307,1045.215437,1306.519296,571.5520654,3720,27.45981866,1750.537307,864.8235717,571.1764437,0.260736617,0.301347874,1806.104527
70,300,398.7697181,21888.28442,72.90663678,28.31912789,3.824240133,14.58132736,21.87199104,0.564645137,0.027582682,0.018092924,0.009489758,20.47100179,3788467.279,4547979.926,2728787.956,1914938.916,0.3,0.4,0.3,0.4,1435680.848,17169.47188,3289.215848,2185.311504,1137.296604,863.9603095,1426.441896,181.505489,827.3618628,3331.115679,998.8125341,1248.515668,575.3767288,3720,25.21992994,1742.331432,717.8404239,544.6921739,0.256840791,0.299344745,1818.190463
71,280,398.7697181,22336.98689,79.70188242,29.60946988,3.978707815,15.94037648,23.91056473,0.527002128,0.025646882,0.017380249,0.008266634,20.54838951,3437712.925,4126906.272,2476143.763,1737644.746,0.1,0.5,0.3,0.4,1492644.042,17618.63722,3515.943315,2185.311504,1243.298061,881.5201674,1302.116101,189.4039741,902.5734637,3463.283626,998.3496759,1247.937095,577.2149374,3720,25.5780865,1745.886128,746.322021,549.1151304,0.25773671,0.298391446,1823.999202
72,350,398.7697181,22159.65002,63.26379017,26.37994867,3.592500197,12.65275803,18.97913705,0.65875266,0.032557927,0.019641312,0.012916615,20.2332495,5001781.764,6004539.933,4203177.953,1896170.505,0.1,0.3,0.1,0.3,1508327.765,17401.53266,3084.718614,2185.311504,986.8744037,874.6389772,1963.981922,169.6052516,720.6322508,3499.673535,1038.117363,1297.646704,583.3792013,3720,26.03359213,1746.377322,754.1638825,554.5300286,0.258399985,0.295238499,1843.478276
73,300,398.7697181,21480.04614,71.55544582,28.05547904,3.792703011,14.31108916,21.46663375,0.564645137,0.027688564,0.018198806,0.009489758,20.39271996,3718254.977,4463691.449,2678214.869,1879449.031,0.1,0.5,0.1,0.4,1331729.154,16757.396,3198.418087,2185.311504,1116.218894,847.9480846,1401.607713,179.8897065,812.4065189,3089.923414,1002.650144,1253.31268,585.5267881,3720,24.77749685,1742.339561,665.8645771,538.1036261,0.256101787,0.294155628,1850.26465
74,325,398.7697181,21256.0851,65.33277004,26.80784345,3.643589194,13.06655401,19.59983101,0.611698899,0.030204375,0.01906709,0.011137286,20.2519964,4219051.457,5064887.703,3038932.622,2132584.296,0.1,0.4,0.3,0.4,1315651.532,16523.29173,3015.076109,2185.311504,1019.149158,838.7251398,1578.20888,172.2343455,743.5322748,3052.619567,1012.793369,1265.991711,587.1064055,3720,24.67922501,1741.243498,657.8257662,537.6859963,0.255931794,0.293364198,1855.256242
75,325,398.7697181,21049.36442,64.70315289,26.67835606,3.628125945,12.94063058,19.41094587,0.611698899,0.03026452,0.019127234,0.011137286,20.21174989,4178392.119,5016076.974,3009646.184,2112032.41,0.3,0.4,0.1,0.4,1262542.162,16316.02857,2971.747836,2185.311504,1009.327536,830.6421284,1563.915036,171.4389383,736.5635033,2929.393393,1013.335845,1266.669806,591.0031979,3720,24.45401276,1740.900105,631.2710808,534.3345818,0.255516854,0.291429895,1867.570105
76,350,398.7697181,21296.7258,60.78284655,25.85751945,3.530163421,12.15656931,18.23485397,0.65875266,0.032817769,0.019901153,0.012916615,20.0730484,4805632.616,5769066.766,3461440.059,2429080.743,0.3,0.3,0.3,0.4,1339958.812,16545.31116,2906.106479,2185.311504,948.1732802,840.3386184,1783.637594,166.392766,693.1725015,3109.018145,1031.414641,1289.268301,591.6945139,3720,24.86772094,1742.783098,669.9794058,541.434662,0.256525685,0.291089398,1869.754664
77,280,398.7697181,21473.99714,76.64377856,29.03586686,3.910017804,15.32875571,22.99313357,0.527002128,0.025853553,0.017586919,0.008266634,20.38412801,3305810.354,3968559.849,2381135.91,1670972.568,0.3,0.5,0.3,0.4,1276800.41,16748.70781,3316.24283,2185.311504,1195.59361,847.696233,1255.184136,185.8947258,868.7255501,2962.475869,1005.289329,1256.611661,597.1169996,3720,24.65055334,1745.485455,638.4002052,535.3037944,0.256140651,0.288445983,1886.889719
78,300,398.7697181,21298.3888,70.91444188,27.92953384,3.777640837,14.18288838,21.27433256,0.564645137,0.02774009,0.018250332,0.009489758,20.35484162,3684946.316,4423705.061,3096593.543,1396959.493,0.1,0.4,0.3,0.3,1248723.984,16565.78951,3155.041203,2185.311504,1106.219646,840.3519016,1472.187823,179.1176109,805.3117154,2897.331987,1012.599286,1265.749108,598.2462037,3720,24.74567903,1744.596119,624.3619921,534.4401962,0.255943791,0.287901534,1890.458004
79,325,398.7697181,21071.63057,64.77098736,26.69233712,3.629795427,12.95419747,19.43129621,0.611698899,0.030257988,0.019120702,0.011137286,20.21611299,4182772.725,5021335.804,3514935.063,1585684.991,0.3,0.3,0.3,0.3,1223723.717,16327.82036,2975.67114,2185.311504,1010.38571,831.5129857,1659.006371,171.5248285,737.3143134,2839.325515,1023.810207,1279.762758,600.8388872,3720,24.66445445,1743.757342,611.8618587,533.863909,0.255784874,0.286659209,1898.650883
80,300,398.7697181,20753.87792,69.11754269,27.57341055,3.73506222,13.82350854,20.73526281,0.564645137,0.027889209,0.01839945,0.009489758,20.24600784,3591573.558,4311612.915,2586967.749,1815415.964,0.1,0.5,0.3,0.4,1148122.297,16025.12692,3036.766504,2185.311504,1078.189175,819.0578574,1356.734686,176.9335979,785.4231533,2663.91252,1008.751003,1260.938754,603.0491643,3720,23.98614896,1742.18609,574.0611484,526.3288339,0.254762201,0.285608554,1905.635359
81,350,398.7697181,20802.92283,59.38548713,25.55856722,3.494512638,11.87709743,17.81564614,0.65875266,0.032972943,0.020056328,0.012916615,19.97858245,4695154.144,5636439.548,3381863.729,2373237.705,0.1,0.4,0.1,0.4,1210679.343,16047.0913,2806.500816,2185.311504,926.3753727,821.0194079,1745.053542,164.5531882,677.7061527,2809.059512,1035.831528,1294.78941,604.3738139,3720,24.32226365,1742.887048,605.3396713,533.3217017,0.255626245,0.284982565,1909.821252
82,350,398.7697181,21017.59187,59.99321974,25.68901355,3.510066791,11.99864395,17.99796592,0.65875266,0.032904633,0.019988018,0.012916615,20.02005803,4743202.891,5694121.118,3985884.782,1798143.511,0.1,0.3,0.3,0.3,1216187.073,16251.27699,2848.847865,2185.311504,935.8556101,829.4216207,1867.983088,165.3559946,684.4327001,2821.838736,1046.31488,1307.8936,610.9542272,3720,24.768717,1746.168764,608.0935367,535.8960745,0.256283904,0.2819131,1930.615358
83,325,398.7697181,20271.09389,62.32911276,26.18435106,3.569156103,12.46582255,18.69873383,0.611698899,0.030501376,0.01936409,0.011137286,20.05479706,4025081.652,4832030.795,2899218.477,2034539.282,0.3,0.4,0.3,0.4,1059731.262,15529.95351,2809.832716,2185.311504,972.2940378,800.1642787,1509.950319,168.4028271,710.2869906,2458.824625,1021.140386,1276.425482,611.3127405,3720,23.59566503,1741.137103,529.8656309,521.576365,0.254110678,0.281747768,1931.74826
84,325,398.7697181,19864.8012,61.04775101,25.91380445,3.536877248,12.2095502,18.3143253,0.611698899,0.030636285,0.019498999,0.011137286,19.96648437,3942334.033,4732693.918,2839616.351,1992713.229,0.1,0.5,0.1,0.4,956302.7565,15120.95526,2723.780487,2185.311504,952.3056193,783.7142155,1480.777403,166.7390061,696.1045351,2218.846279,1023.845934,1279.807417,620.8133112,3720,23.14532859,1740.944312,478.1513782,514.8861058,0.253337687,0.277436062,1961.770063
85,300,398.7697181,20291.24496,67.58841846,27.26669402,3.698404518,13.51768369,20.27652554,0.564645137,0.028021846,0.018532088,0.009489758,20.15017595,3512115.262,4216224.804,2951357.363,1331439.412,0.3,0.4,0.3,0.3,992071.4787,15550.17096,2936.171527,2185.311504,1054.335821,800.9370799,1407.034591,175.0515894,768.4983963,2301.838088,1021.073999,1276.342499,622.3064498,3720,23.63728585,1744.29916,496.0357394,518.1047933,0.254075918,0.276770392,1966.488381
86,300,398.7697181,19929.33036,66.39076864,27.02403477,3.669412091,13.27815373,19.91723059,0.564645137,0.028129661,0.018639903,0.009489758,20.07294473,3449881.461,4141514.359,2484908.615,1743795.519,0.3,0.5,0.3,0.4,935911.8296,15193.26452,2859.194675,2185.311504,1035.653255,786.7444265,1306.440643,173.5619758,755.242487,2171.534554,1016.065836,1270.082295,623.1400613,3720,23.08033231,1742.03034,467.9559148,512.8792923,0.253234279,0.27640014,1969.122594
87,350,398.7697181,19935.47079,56.88841465,25.01544645,3.429784685,11.37768293,17.06652439,0.65875266,0.033267788,0.020351173,0.012916615,19.8015166,4497729.81,5399435.547,3239661.328,2273446.546,0.1,0.4,0.3,0.4,985440.0397,15172.93546,2631.433729,2185.311504,887.4226493,786.4961419,1675.983501,161.2087081,650.0678848,2286.451597,1042.53533,1303.169163,625.8861759,3720,23.35724691,1742.827941,492.7200198,518.9830092,0.254009322,0.275187417,1977.800316
88,350,398.7697181,19729.8109,56.30773609,24.88744858,3.414538125,11.26154722,16.89232083,0.65875266,0.033339827,0.020423211,0.012916615,19.75873078,4451820.019,5344321.751,3206593.051,2250240.737,0.3,0.4,0.1,0.4,931653.2245,14966.96149,2591.334266,2185.311504,878.3644376,778.4679804,1659.898835,160.4200481,643.6407788,2161.653594,1042.849415,1303.561769,629.6775871,3720,23.12869094,1742.44771,465.8266123,515.5920478,0.253585803,0.27353046,1989.781175
89,325,398.7697181,19702.76742,60.55508771,25.80902875,3.524379748,12.11101754,18.16652631,0.611698899,0.030689562,0.019552276,0.011137286,19.93182261,3910518.885,4694500.462,3286150.323,1482473.83,0.1,0.4,0.3,0.3,871956.9953,14947.19949,2690.205508,2185.311504,944.6203889,777.38943,1556.987929,166.0944463,690.6516056,2023.144366,1035.567936,1294.45992,634.8676145,3720,23.13920686,1743.687636,435.9784977,511.4192945,0.253256437,0.271294355,2006.181662
90,325,398.7697181,19176.68712,58.95335186,25.46540537,3.483406031,11.79067037,17.68600556,0.611698899,0.030868474,0.019731188,0.011137286,19.81629882,3807082.187,4570326.755,2742196.053,1924348.107,0.1,0.5,0.3,0.4,774936.6739,14425.45781,2584.822703,2185.311504,919.6343407,756.8264417,1433.021764,163.9797314,672.9231637,1798.034507,1031.229309,1289.036636,639.2345011,3720,22.37632616,1741.236575,387.4683369,503.487817,0.252090441,0.269441026,2019.981023
91,325,398.7697181,19010.48249,58.44664547,25.35573111,3.470332818,11.68932909,17.53399364,0.611698899,0.030926966,0.01978968,0.011137286,19.7788204,3774360.165,4531044.616,2718626.77,1907808.259,0.3,0.5,0.1,0.4,731578.3128,14258.82452,2551.652152,2185.311504,911.7300472,750.3213796,1421.454233,163.3045144,667.3148015,1697.432958,1031.657968,1289.572459,642.371134,3720,22.19107009,1740.941865,365.7891564,500.7444731,0.251749257,0.268125373,2029.892784
92,300,398.7697181,19172.86907,63.85196825,26.5022952,3.607105027,12.77039365,19.15559047,0.564645137,0.028370535,0.018880777,0.009489758,19.90251993,3317957.089,3983141.764,2788199.235,1257834.241,0.1,0.5,0.3,0.3,706593.6782,14421.66356,2696.449911,2185.311504,996.049603,756.6586053,1333.641988,170.3571699,727.1423634,1639.462757,1031.205512,1289.00689,649.9583225,3720,22.39052738,1744.158957,353.2968391,499.7743959,0.252001605,0.264995453,2053.868299
93,350,398.7697181,18964.64832,54.14321878,24.40441367,3.35702984,10.82864376,16.24296563,0.65875266,0.033620992,0.020704376,0.012916615,19.59349289,4280688.267,5138881.473,3083328.884,2163739.568,0.3,0.4,0.3,0.4,728448.1169,14194.15315,2443.229632,2185.311504,844.5993608,748.5425084,1599.863273,157.4422082,619.6833208,1690.170171,1050.495163,1313.118953,650.1332152,3720,22.26667546,1742.756925,364.2240584,502.8202253,0.252186209,0.264924166,2054.42096
94,350,398.7697181,19678.95695,56.16407004,24.85567884,3.410754333,11.23281401,16.84922101,0.65875266,0.033357863,0.020441248,0.012916615,19.74804721,4440461.448,5330686.012,4264548.81,1122249.687,0.1,0.3,0.3,0.2,823190.4817,14892.38864,2579.90377,2185.311504,876.1233397,776.4817283,1854.596056,160.2242709,642.0506445,1909.994638,1066.568306,1333.210382,653.6676961,3720,23.46235602,1748.692548,411.5952408,512.9294827,0.253988105,0.263491681,2065.58992
95,325,398.7697181,18370.66114,56.4487504,24.91859254,3.418247573,11.28975008,16.93462512,0.611698899,0.031167089,0.020029803,0.011137286,19.62643683,3645340.347,4376158.879,2625695.328,1842593.212,0.3,0.5,0.3,0.4,565215.4744,13613.51332,2421.984607,2185.311504,880.56417,724.672557,1375.790411,160.6119583,645.201563,1311.432225,1037.147825,1296.434781,658.4451184,3720,21.46947906,1740.890825,282.6077372,490.0667391,0.250544378,0.261579887,2080.686574
96,325,398.7697181,18729.49916,57.58932877,25.16908056,3.448088998,11.51786575,17.27679863,0.611698899,0.031028107,0.019890821,0.011137286,19.71434818,3718996.474,4464581.601,3125207.121,1409867.874,0.3,0.4,0.3,0.3,617689.5369,13965.52671,2495.083093,2185.311504,898.3564584,739.3152103,1485.005089,162.1550918,657.8257903,1433.184335,1043.972451,1304.965564,658.9634223,3720,22.04099107,1743.544221,308.8447684,495.3075769,0.251430928,0.261374143,2082.324415
97,300,398.7697181,18363.40466,61.17602282,25.94101484,3.540123167,12.23520456,18.35280685,0.564645137,0.028644393,0.019154635,0.009489758,19.71223929,3178906.214,3816213.942,2671349.76,1205120.192,0.3,0.5,0.3,0.3,496743.9417,13604.82773,2528.894399,2185.311504,954.3065769,724.9476031,1280.942389,166.9063804,697.5242819,1152.562239,1038.576931,1298.221164,669.8938716,3720,21.47832453,1743.98826,248.3719709,486.4014838,0.25048061,0.257109383,2116.864634
