n,W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
61,350,398.7697181,19241.28781,54.93332342,24.5818339,3.37814742,10.98666468,16.47999703,0.65875266,0.03351597,0.020599354,0.012916615,19.65488881,4343155.77,5213872.473,3018557.748,2195314.726,0.3,0.2,0.3,0.4,994393.7813,14880.33948,2523.041461,2185.311504,856.9244847,759.4660729,1581.507764,158.5362767,628.4284109,2307.226374,640.9483335,801.1854169,245.9656084,3720,23.00711544,1900.888673,497.1968907,622.6036078,0.306090267,0.37810164,777.2513226
62,350,398.7697181,19199.97837,54.81623114,24.5556214,3.375027057,10.96324623,16.44486934,0.65875266,0.033531356,0.020614741,0.012916615,19.64587003,4333898.183,5202758.923,3012123.587,2190635.336,0.3,0.3,0.1,0.4,983253.4232,14838.24635,2515.004567,2185.311504,855.0979204,757.8472172,1578.341245,158.3746583,627.1324021,2281.378135,641.7320175,802.1650218,247.4335427,3720,22.96032912,1901.164948,491.6267116,621.7575886,0.306021159,0.375858499,781.889995
63,325,398.7697181,19127.38425,58.80988164,25.4343999,3.479709949,11.76197633,17.64296449,0.611698899,0.03088494,0.019747655,0.011137286,19.80573361,3797817.185,4559204.304,2639539.334,1919664.97,0.1,0.4,0.3,0.4,950179.9718,14778.2553,2602.093071,2185.311504,917.3962976,754.9845806,1394.319751,163.7888571,671.3351968,2204.639985,629.1289497,786.4111872,248.4261042,3720,22.74497903,1900.901871,475.0899859,616.5978634,0.305363394,0.374356794,785.0264892
64,325,398.7697181,19351.85606,59.49490966,25.58210324,3.497318806,11.89898193,17.8484729,0.611698899,0.030806982,0.019669697,0.011137286,19.85585265,3842054.839,4612310.731,3155791.553,1456519.178,0.1,0.3,0.3,0.3,965782.5549,14998.14188,2646.910127,2185.311504,928.0822938,763.778926,1504.407603,164.6980493,678.9172706,2240.84163,633.7141864,792.142733,249.2165196,3720,23.17000635,1903.534254,482.8912774,620.1638774,0.306115236,0.373169484,787.5242021
65,325,398.7697181,19091.66252,58.70082582,25.41080644,3.47689755,11.74016516,17.61024775,0.611698899,0.030897507,0.019760221,0.011137286,19.79767818,3790774.592,4550749.81,2634644.627,1916105.183,0.1,0.5,0.1,0.4,940602.9361,14741.81839,2594.886053,2185.311504,915.695097,753.5845293,1391.89314,163.6436054,670.1281377,2182.41902,629.8441249,787.3051561,249.7079819,3720,22.70469631,1901.146445,470.3014681,615.8698794,0.305304758,0.372435031,789.0772229
66,300,398.7697181,19154.45674,63.79862409,26.49122242,3.605783144,12.75972482,19.13958723,0.564645137,0.028375786,0.018886028,0.009489758,19.89883683,3315185.153,3979814.109,2304102.905,1675711.204,0.1,0.5,0.3,0.4,922600.6814,14813.0288,2721.38891,2185.311504,995.2174686,756.0264557,1227.415076,170.289125,726.551936,2140.649574,621.4279412,776.7849266,251.7538409,3720,22.64346322,1902.743662,461.3003407,613.3924709,0.305197994,0.369408465,795.5421372
67,325,398.7697181,19001.38644,58.42516716,25.35107175,3.469777468,11.68503343,17.52755015,0.611698899,0.030929466,0.01979218,0.011137286,19.77722158,3772973.141,4529379.521,2622272.354,1907107.167,0.3,0.3,0.3,0.4,916208.6385,14649.27948,2576.668139,2185.311504,911.3949993,750.0456425,1385.758322,163.2758259,667.0770738,2125.818538,632.1069677,790.1337096,253.3915936,3720,22.60233854,1901.973585,458.1043192,614.0206118,0.305180778,0.367020858,800.7174359
68,325,398.7697181,18966.15897,58.31757933,25.32771945,3.466994164,11.66351587,17.4952738,0.611698899,0.030942015,0.01980473,0.011137286,19.76920031,3766025.348,4521038.833,2617443.535,1903595.298,0.3,0.4,0.1,0.4,906757.1728,14613.34664,2569.580842,2185.311504,909.7166984,748.6644375,1383.363508,163.1320381,665.8862628,2103.888925,632.8123381,791.0154227,254.6561593,3720,22.56255348,1902.21472,453.3785864,613.3018534,0.305122844,0.365198314,804.7134635
69,325,398.7697181,19199.48158,59.0299624,25.48194628,3.485377901,11.80599248,17.70898872,0.611698899,0.030859711,0.019722426,0.011137286,19.82192552,3812029.533,4576265.946,3131129.331,1445136.614,0.3,0.2,0.3,0.3,925100.8889,14842.24866,2616.026134,2185.311504,920.8294157,757.8099628,1493.325678,164.0815555,673.7711096,2146.450641,637.2329202,796.5411502,255.1384454,3720,22.99665381,1904.792995,462.5504445,617.0598333,0.305891408,0.364507983,806.2374873
70,300,398.7697181,19044.12717,63.43380116,26.41537077,3.596728386,12.68676023,19.03014035,0.564645137,0.028411918,0.01892216,0.009489758,19.87353113,3296227.76,3957056.134,2290927.236,1666128.899,0.3,0.4,0.3,0.4,893199.0908,14700.04829,2698.160025,2185.311504,989.5264656,751.7031584,1220.832541,169.8229648,722.5139779,2072.431001,624.0788726,780.0985907,256.0720572,3720,22.51934202,1903.668275,446.5995454,611.1513414,0.305038305,0.363179025,809.1877009
71,300,398.7697181,19233.40837,64.0596229,26.54535462,3.612245699,12.81192458,19.21788687,0.564645137,0.028350171,0.018860413,0.009489758,19.91681611,3328747.504,3996095.443,2734170.566,1261924.877,0.1,0.4,0.3,0.3,904633.2363,14884.9645,2737.433481,2185.311504,999.288882,759.1193962,1314.301596,170.6217685,729.4407408,2098.960895,628.4438759,785.5548449,257.3325327,3720,22.88140532,1906.169135,452.3166182,614.1096813,0.305700486,0.361400088,813.1708034
72,280,398.7697181,19176.68703,68.43289281,27.43650526,3.718698165,13.68657856,20.52986784,0.527002128,0.026491668,0.018225034,0.008266634,19.89312723,2951657.263,3543406.078,2051445.624,1491960.454,0.3,0.5,0.3,0.4,882046.4618,14834.59429,2828.036533,2185.311504,1067.509078,756.8805835,1100.798962,176.0936633,777.8452649,2046.554291,622.0927395,777.6159244,260.3749355,3720,22.56160014,1907.032597,441.0232309,610.7496744,0.305397664,0.357177237,822.784796
73,300,398.7697181,19102.04188,63.6253312,26.45521958,3.601485209,12.72506624,19.08759936,0.564645137,0.028392901,0.018903143,0.009489758,19.88684196,3306180.287,3969003.946,2715634.279,1253369.667,0.3,0.3,0.3,0.3,869904.2492,14750.50353,2709.739737,2185.311504,992.5142109,753.9728656,1305.910073,170.0678703,724.6338838,2018.381515,631.5383525,789.4229406,262.4132068,3720,22.73275934,1907.241839,434.9521246,611.4478285,0.305507728,0.354402894,829.2257335
74,280,398.7697181,19078.18871,68.08402985,27.36648184,3.710329383,13.61680597,20.42520896,0.527002128,0.026521909,0.018255275,0.008266634,19.87044505,2936610.056,3525342.204,2040987.592,1484354.612,0.5,0.4,0.3,0.4,856148.441,14733.73429,2806.529574,2185.311504,1062.06704,753.0220292,1095.539502,175.6639878,773.9839561,1986.464819,624.4544238,780.5680297,264.1772291,3720,22.45134885,1907.833294,428.0742205,608.7606882,0.305253529,0.352036397,834.8000441
75,350,398.7697181,19365.66153,55.2857942,24.66057048,3.387521129,11.05715884,16.58573826,0.65875266,0.033470021,0.020553406,0.012916615,19.68187175,4371022.927,5247326.443,4142626.139,1104700.304,0.1,0.2,0.3,0.2,925448.6367,14983.64094,2545.785472,2185.311504,862.422802,764.3391472,1806.857051,159.0216974,632.329652,2147.257497,662.0205834,827.5257292,264.4035276,3720,23.53226444,1910.834181,462.7243183,622.7978273,0.307320179,0.351735095,835.5151471
76,350,398.7697181,18567.98698,52.99067803,24.14326942,3.325958729,10.59813561,15.89720341,0.65875266,0.033779415,0.0208628,0.012916615,19.50160054,4189565.726,5029490.668,2911810.387,2117680.281,0.1,0.4,0.3,0.4,812779.3292,14190.21713,2390.5524,2185.311504,826.620467,732.6081056,1528.924991,155.8312148,606.9266907,1885.838327,657.7698538,822.2123172,274.0514988,3720,22.23666573,1907.340966,406.3896646,608.6788704,0.305183888,0.339352277,866.0027361
77,350,398.7697181,18805.85238,53.66210178,24.29574283,3.344098385,10.73242036,16.09863053,0.65875266,0.033686353,0.020769737,0.012916615,19.55547603,4242650.043,5093217.338,3484832.916,1608384.423,0.1,0.3,0.3,0.3,828240.7673,14422.76493,2435.377802,2185.311504,837.0942453,741.8908445,1651.851075,156.7719127,614.3581888,1921.712483,663.0874479,828.8593099,275.2012978,3720,22.6970409,1910.285247,414.1203836,612.457629,0.305999367,0.337934453,869.6361009
78,350,398.7697181,18759.58433,53.53155836,24.26617279,3.340580077,10.70631167,16.05946751,0.65875266,0.033704276,0.020787661,0.012916615,19.54507671,4232328.978,5080827.104,3476355.387,1604471.717,0.1,0.4,0.1,0.3,815799.9902,14375.63069,2426.521516,2185.311504,835.057852,740.0860221,1648.061485,156.5894981,612.9132993,1892.846967,663.9536453,829.9420567,276.831079,3720,22.64392717,1910.586745,407.8999951,611.5085446,0.305920818,0.335944939,874.7862095
79,325,398.7697181,18418.37757,56.61001051,24.95416029,3.42248415,11.3220021,16.98300315,0.611698899,0.031147123,0.020009837,0.011137286,19.6390179,3655754.182,4388660.482,2540803.437,1847857.045,0.1,0.5,0.3,0.4,760089.5867,14051.40753,2457.759899,2185.311504,883.079724,726.7428007,1345.321345,160.8311151,646.9864332,1763.585788,646.9700453,808.7125566,277.6165174,3720,21.9377258,1907.509376,380.0447933,602.0183998,0.304396425,0.334994477,877.2681949
80,350,398.7697181,18434.16046,52.61262765,24.05699283,3.315696647,10.52252553,15.78378829,0.65875266,0.033832789,0.020916174,0.012916615,19.47083523,4159676.188,4993608.869,2891036.714,2102572.155,0.3,0.3,0.3,0.4,776186.8187,14053.27718,2365.051303,2185.311504,820.7231245,727.3813888,1518.680012,155.2988082,602.7423278,1800.935135,660.8832798,826.1040997,279.3624388,3720,22.08321097,1908.492253,388.0934093,605.9097034,0.304987645,0.332900874,882.7853066
81,350,398.7697181,18396.5729,52.50640662,24.03269591,3.312806963,10.50128132,15.75192199,0.65875266,0.033847915,0.020931299,0.012916615,19.46213436,4151278.107,4983527.14,2885199.923,2098327.217,0.3,0.4,0.1,0.4,765965.8467,14014.96661,2357.911782,2185.311504,819.0661448,725.9128354,1515.800755,155.1488585,601.5666449,1777.220087,661.6062894,827.0078617,280.7066978,3720,22.04022488,1908.74591,382.9829233,605.1340994,0.304924334,0.331306665,887.033165
82,300,398.7697181,18424.54571,61.34582627,25.97699153,3.544415004,12.26916525,18.40374788,0.564645137,0.028626358,0.0191366,0.009489758,19.72465864,3187729.756,3826806.43,2215519.512,1611286.918,0.3,0.5,0.3,0.4,729354.6874,14064.87624,2566.442214,2185.311504,956.9554013,726.9598391,1183.11735,167.1276653,699.4037119,1692.273627,639.6694677,799.5868347,281.1996297,3720,21.81792722,1909.261289,364.6773437,598.493863,0.304181412,0.330725898,888.59083
83,350,398.7697181,18643.74631,53.2046091,24.19195528,3.33175032,10.64092182,15.96138273,0.65875266,0.033749526,0.02083291,0.012916615,19.51887175,4206479.613,5049795.454,3455123.205,1594672.249,0.3,0.2,0.3,0.3,784383.4027,14256.98175,2404.346659,2185.311504,829.9576541,735.5657997,1638.568305,156.1316147,609.2945373,1819.953129,666.7645637,833.4557046,281.5389177,3720,22.51013985,1911.636899,392.1917013,609.118595,0.305758305,0.330327334,889.6629799
84,325,398.7697181,18302.49273,56.25734662,24.87631027,3.413211525,11.25146932,16.87720399,0.611698899,0.031190925,0.02005364,0.011137286,19.61143798,3632979.898,4361320.405,2524974.972,1836345.434,0.3,0.4,0.3,0.4,728583.9692,13932.72853,2434.876617,2185.311504,877.5783944,722.2153317,1337.456622,160.3514109,643.0830548,1690.48538,649.7642071,812.2052588,282.2331174,3720,21.80537643,1908.513666,364.2919846,599.6320108,0.304228781,0.329514838,891.856651
85,350,398.7697181,18598.2992,53.07629023,24.16276459,3.328277783,10.61525805,15.92288707,0.65875266,0.033767427,0.020850811,0.012916615,19.50852415,4196334.425,5037616.357,3446790.139,1590826.218,0.3,0.3,0.1,0.3,772154.6589,14210.68475,2395.677673,2185.311504,827.9559623,733.7917331,1634.841677,155.9515064,607.8742696,1791.579581,667.6144474,834.5180593,283.1396091,3720,22.45786594,1911.932531,386.0773295,608.1849066,0.305680911,0.328459873,894.7211649
86,325,398.7697181,18270.08104,56.15867937,24.85448597,3.410612266,11.23173587,16.84760381,0.611698899,0.031203272,0.020065986,0.011137286,19.60367802,3626608.176,4353671.28,2520546.53,1833124.749,0.3,0.5,0.1,0.4,719817.9905,13899.65787,2428.494819,2185.311504,876.0392487,720.9486499,1335.255762,160.2169198,641.9909791,1670.146257,650.4231663,813.0289579,283.4052108,3720,21.76845521,1908.738242,359.9089953,598.9663629,0.304175281,0.328152047,895.560466
87,325,398.7697181,18501.0483,56.86150203,25.00952863,3.429079711,11.37230041,17.05845061,0.611698899,0.031116195,0.019978909,0.011137286,19.65853786,3671994.97,4408157.227,3016107.576,1392049.651,0.1,0.4,0.3,0.3,739534.8519,14126.273,2473.484744,2185.311504,887.0028298,729.9714281,1441.580705,161.1722494,649.7700088,1715.893992,654.7753048,818.469131,283.8676603,3720,22.19578627,1911.292928,369.7674259,602.7319348,0.304941905,0.327617454,897.0218065
88,280,398.7697181,18519.24219,66.05995206,26.95662206,3.661359266,13.21199041,19.81798562,0.527002128,0.026703172,0.018436538,0.008266634,19.73556265,2849307.245,3420536.909,1980310.842,1440226.067,0.5,0.5,0.3,0.4,710823.4159,14161.00876,2682.802436,2185.311504,1030.492729,730.6349873,1064.993541,173.1480449,751.5809204,1649.276738,638.2334296,797.791787,286.3173814,3720,21.8222908,1912.631957,355.411708,597.4167568,0.304459612,0.324814371,904.7629251
89,300,398.7697181,18492.19372,61.56870355,26.02413762,3.55003962,12.31374071,18.47061107,0.564645137,0.028602825,0.019113067,0.009489758,19.74088682,3199311.189,3840709.71,2627854.012,1212855.698,0.1,0.5,0.3,0.3,709937.2977,14125.33427,2579.801518,2185.311504,960.4321436,729.6010209,1266.129759,167.4176304,701.8705775,1647.220737,646.8594472,808.574309,287.1279488,3720,22.03794077,1912.740714,354.9686488,599.0142768,0.304666578,0.323897414,907.3243181
90,325,398.7697181,18362.99574,56.44150472,24.91699324,3.418057081,11.28830094,16.93245142,0.611698899,0.031167988,0.020030703,0.011137286,19.62587035,3644872.436,4375597.163,2993829.638,1381767.525,0.3,0.3,0.3,0.3,702333.1353,13984.96469,2446.188024,2185.311504,880.4511422,724.5795377,1431.546804,160.6021036,645.121366,1629.5773,658.0310492,822.5388115,289.2953745,3720,22.03709562,1912.455978,351.1665676,599.8970254,0.304739114,0.321470746,914.1733836
91,300,398.7697181,18371.81323,61.17206764,25.94017625,3.54002313,12.23441353,18.35162029,0.564645137,0.028644815,0.019155056,0.009489758,19.71194944,3178700.69,3815967.215,2610924.936,1205042.278,0.3,0.4,0.3,0.3,677820.3238,14002.05581,2554.985835,2185.311504,954.2448787,724.9007327,1258.4498,166.9012222,697.4805049,1572.701838,649.7574269,812.1967837,291.8403122,3720,21.90047503,1913.745192,338.9101619,596.5579382,0.304490472,0.318667422,922.2153867
92,350,398.7697181,18272.1374,52.15466254,23.95206229,3.303217951,10.43093251,15.64639876,0.65875266,0.033898412,0.020981797,0.012916615,19.43314215,4123468.406,4950142.144,3908006.956,1042135.188,0.1,0.3,0.3,0.2,634643.721,13864.08489,2332.822822,2185.311504,813.5791636,721.0498165,1709.860624,154.6511762,597.6734472,1472.522012,688.0525099,860.0656373,308.6198426,3720,22.25939053,1920.648374,317.3218605,600.2879399,0.305780238,0.301341609,975.2387026
93,325,398.7697181,17666.06164,54.31757312,24.44367616,3.361702538,10.86351462,16.29527194,0.611698899,0.031441313,0.020304027,0.011137286,19.45525939,3507713.447,4210940.512,2437912.928,1773027.584,0.3,0.5,0.3,0.4,554456.7257,13279.08695,2310.148255,2185.311504,847.3191763,697.3127001,1294.148267,157.6843519,621.6131214,1286.46941,666.9746873,833.7183591,309.4263937,3720,21.07301581,1914.881575,277.2283629,586.4427154,0.303401372,0.300556132,977.787404
94,350,398.7697181,17706.09184,50.55227162,23.58124229,3.2591383,10.11045432,15.16568149,0.65875266,0.03413675,0.021220134,0.012916615,19.29746286,3996779.669,4798054.825,2777821.214,2020233.61,0.3,0.4,0.3,0.4,575765.648,13306.0058,2227.513328,2185.311504,788.5828968,698.8960598,1462.773966,152.3614684,579.9377548,1335.911098,680.0860369,850.1075461,310.4954108,3720,21.24135527,1915.792364,287.882824,590.7376175,0.304032803,0.299521335,981.165498
95,350,398.7697181,17916.7629,51.14906097,23.72002678,3.275632095,10.22981219,15.34471829,0.65875266,0.034046353,0.021129738,0.012916615,19.34869944,4043963.217,4854697.739,3321635.295,1533062.444,0.1,0.4,0.3,0.3,586185.389,13510.8114,2266.370195,2185.311504,797.8924264,707.1469314,1578.815463,153.2186073,586.5431793,1360.087337,685.9515021,857.4393776,312.6230798,3720,21.66441915,1918.934422,293.0926945,594.0286279,0.304813111,0.297482835,987.8889323
96,350,398.7697181,17769.99882,50.73336287,23.62344157,3.264152993,10.14667257,15.22000886,0.65875266,0.03410911,0.021192494,0.012916615,19.31310049,4011097.162,4815242.692,3294639.736,1520602.955,0.3,0.3,0.3,0.3,546312.1456,13360.72919,2238.826072,2185.311504,791.4078036,701.3997245,1566.716787,152.6221163,581.9421212,1267.572077,689.2696356,861.5870444,318.3628168,3720,21.49331922,1920.151144,273.1560728,590.9794054,0.304590835,0.292119541,1006.026501
97,300,398.7697181,17709.43604,58.98603481,25.47246323,3.484247404,11.79720696,17.69581044,0.564645137,0.028885628,0.01939587,0.009489758,19.54761525,3065107.274,3679600.569,2517621.442,1161979.127,0.3,0.5,0.3,0.3,499988.244,13321.93398,2419.508747,2185.311504,920.1441736,698.9954201,1216.074154,164.0231792,673.2849073,1160.08978,667.5020534,834.3775667,319.5432103,3720,21.13837813,1920.092596,249.994122,582.9573595,0.303610689,0.291040451,1009.756545
98,350,398.7697181,17728.84227,50.61674901,23.59627596,3.260924759,10.1233498,15.1850247,0.65875266,0.034126887,0.021210272,0.012916615,19.30303971,4001877.401,4804174.551,3287066.798,1517107.753,0.3,0.4,0.1,0.3,535194.2777,13318.81401,2231.129553,2185.311504,789.5887025,699.7874875,1563.321894,152.4543277,580.6514078,1241.776021,690.0282616,862.5353269,319.8051057,3720,21.44546319,1920.41322,267.5971389,590.1267362,0.304519198,0.290802111,1010.584134
99,325,398.7697181,17610.75109,54.14877569,24.40566599,3.357178876,10.82975514,16.24463271,0.611698899,0.031463892,0.020326606,0.011137286,19.44129802,3496812.867,4197854.583,2872216.293,1325638.289,0.3,0.4,0.3,0.3,498253.1296,13212.77829,2298.792893,2185.311504,844.6860451,695.1456958,1376.703285,157.4499319,619.7448262,1156.063909,677.9728008,847.466001,321.0465717,3720,21.16510977,1919.798627,249.1265648,584.340958,0.303742857,0.289677599,1014.507167
100,350,398.7697181,16969.20331,48.42957697,23.08084372,3.199706127,9.685915394,14.52887309,0.65875266,0.034475135,0.02155852,0.012916615,19.10805152,3828954.514,4596584.05,3145031.192,1451552.858,0.3,0.4,0.3,0.3,329376.0465,12540.1533,2088.10047,2185.311504,755.4702265,669.5489096,1499.573005,149.2691327,556.4432012,764.2295392,709.0500134,886.3125168,351.5408935,3720,20.55119145,1927.642408,164.6880232,574.2113632,0.303465596,0.264549592,1110.869224
101,325,398.7697181,16963.25375,52.13531089,23.94761825,3.302689503,10.42706218,15.64059327,0.611698899,0.031743729,0.020606443,0.011137286,19.26991331,3366787.589,4041761.812,3190864.588,850897.2236,0.3,0.4,0.3,0.2,284657.3172,12539.84147,2171.340966,2185.311504,813.2772903,669.2970541,1411.55758,154.6237448,597.4592579,660.4716182,703.4122736,879.2653419,356.6639948,3720,20.55705824,1929.997341,142.3286586,569.9299698,0.303231924,0.260749617,1127.058223
