n,W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,DOC,PREE,CO2
28,300,398.7697181,20912.52112,69.64626164,27.6786719,3.747645659,13.92925233,20.89387849,0.564645137,0.027844597,0.018354839,0.009489758,20.27844542,3619047.523,4344594.866,2972617.54,1371977.326,0.1,0.2,0.3,0.3,1344408.471,16606.23492,3101.904231,2185.311504,1086.43685,825.3234069,1421.989349,177.5792673,791.2751564,3119.342397,586.2862002,732.8577502,189.7276117,3720,24.76550121,1891.118819,672.2042355,647.92612,0.307976747,0.490176412,599.5392531
29,325,398.7697181,20532.87234,63.13190598,26.35243757,3.589216447,12.6263812,18.93957179,0.611698899,0.030419439,0.019282153,0.011137286,20.10881589,4076924.332,4894266.906,2833522.945,2060743.96,0.3,0.2,0.1,0.4,1326446.198,16220.0989,2893.444789,2185.311504,984.8170952,810.4705071,1490.294846,169.4361526,719.1725212,3077.66572,592.7734438,740.9668048,189.8455273,3720,24.32613615,1887.382778,663.2230992,645.2231776,0.307195722,0.489871957,599.9118663
30,350,398.7697181,20877.32732,59.60053331,25.60480163,3.500025195,11.92010666,17.88015999,0.65875266,0.032948624,0.020032009,0.012916615,19.99332844,4712156.193,5656850.172,3870476.433,1786373.738,0.1,0.2,0.1,0.3,1379619.435,16544.04757,2849.865255,2185.311504,929.7299547,823.9925306,1823.766735,164.8377494,680.0863415,3201.040076,613.2797541,766.5996926,190.9710102,3720,25.06049964,1891.353929,689.8097173,654.7993512,0.308838963,0.486984909,603.4683923
31,300,398.7697181,20543.60109,68.42659123,27.435242,3.718547181,13.68531825,20.52797737,0.564645137,0.027948466,0.018458708,0.009489758,20.20308169,3555669.46,4268510.756,2471243.07,1797267.687,0.1,0.3,0.3,0.4,1289576.257,16237.69831,3021.752772,2185.311504,1067.410777,810.8697846,1310.738133,176.0859121,777.7755173,2992.118823,585.9027844,732.3784806,195.1569318,3720,24.19571252,1889.994487,644.7881283,641.4774754,0.307058173,0.476539568,616.6959046
32,300,398.7697181,20755.1316,69.12608007,27.57511343,3.735265778,13.82521601,20.73782402,0.564645137,0.027888483,0.018398725,0.009489758,20.24653441,3592017.188,4312145.484,2950415.331,1361730.153,0.3,0.1,0.3,0.3,1303386.621,16445.22194,3067.366322,2185.311504,1078.322353,819.1590291,1411.981984,176.9440441,785.5176474,3024.162102,589.9096549,737.3870686,195.7258914,3720,24.59074742,1892.376154,651.6933105,644.7844504,0.307748184,0.475154305,618.4938169
33,300,398.7697181,20415.17315,68.00171819,27.34993419,3.708351805,13.60034364,20.40051546,0.564645137,0.027985454,0.018495696,0.009489758,20.17637918,3533591.667,4242006.804,2455898.676,1786108.128,0.3,0.2,0.3,0.4,1255769.88,16106.24876,2993.76972,2185.311504,1060.783031,805.8348574,1303.102123,175.5624416,773.0729085,2913.680114,588.9243916,736.1554895,200.1176265,3720,24.05351984,1891.049341,627.8849398,638.901245,0.306873636,0.464726679,632.3716998
34,350,398.7697181,20276.28121,57.8618721,25.22856701,3.455177522,11.57237442,17.35856163,0.65875266,0.033150038,0.020233423,0.012916615,19.87185231,4574693.611,5491829.065,3179479.985,2312349.08,0.1,0.2,0.3,0.4,1275332.324,15941.42775,2727.169843,2185.311504,902.607959,799.9546679,1660.588002,162.521459,660.842373,2959.069564,614.8534631,768.5668289,202.930628,3720,24.17882546,1890.985906,637.666162,643.8136035,0.307461792,0.45828469,641.2607845
35,350,398.7697181,20230.20578,57.73172265,25.20017756,3.451794497,11.54634453,17.3195168,0.65875266,0.033165567,0.020248952,0.012916615,19.86254754,4564403.694,5479476.224,3172328.34,2307147.884,0.1,0.3,0.1,0.4,1262968.862,15894.46966,2718.006552,2185.311504,900.5777113,798.1552875,1657.078199,162.3466178,659.401844,2930.383437,615.736115,769.6701437,204.5723515,3720,24.12724339,1891.298739,631.4844308,642.8787709,0.307386346,0.454606888,646.4486307
36,280,398.7697181,20525.51168,73.24841918,28.38542955,3.832172367,14.64968384,21.97452575,0.527002128,0.026101468,0.017834835,0.008266634,20.19051645,3159361.231,3792750.577,2195802.966,1596947.611,0.1,0.4,0.3,0.4,1233190.941,16217.30739,3130.395164,2185.311504,1142.628189,810.1421683,1173.244185,181.911717,831.144802,2861.29169,588.2042932,735.2553665,206.6628708,3720,24.06103415,1895.238981,616.5954706,637.8564141,0.30725509,0.450008265,653.0546717
37,350,398.7697181,20114.83485,57.4057395,25.12893023,3.443304973,11.4811479,17.22172185,0.65875266,0.033204751,0.020288135,0.012916615,19.83910887,4538630.712,5448536.269,3154415.734,2294120.534,0.3,0.1,0.3,0.4,1231762.948,15776.29916,2695.061322,2185.311504,895.4925841,793.6484103,1648.285388,161.907791,655.7937751,2857.978413,618.5356891,773.1696114,209.2589558,3720,23.99735729,1892.353071,615.8814742,640.5254707,0.307228786,0.444425423,661.2583005
38,350,398.7697181,20069.52153,57.27766859,25.10088354,3.439963308,11.45553372,17.18330058,0.65875266,0.033220258,0.020303643,0.012916615,19.8298479,4528505.129,5436380.707,3147378.304,2289002.403,0.3,0.2,0.1,0.4,1219594.572,15730.11817,2686.079181,2185.311504,893.4947603,791.8777673,1644.830173,161.7350307,654.3762519,2829.744931,619.4033642,774.2542053,210.8737798,3720,23.94653829,1892.660465,609.7972861,639.6047644,0.307154394,0.441022113,666.3611443
39,280,398.7697181,20411.27603,72.84357518,28.30687773,3.822774602,14.56871504,21.85307255,0.527002128,0.026132442,0.017865808,0.008266634,20.16658556,3141899.442,3771788.046,2183666.763,1588121.282,0.3,0.3,0.3,0.4,1203535.126,16100.3955,3104.605318,2185.311504,1136.312883,805.6644322,1167.16441,181.4304281,826.6638801,2792.483257,590.8805353,738.6006691,211.0088985,3720,23.93514808,1896.145858,601.7675632,635.5775079,0.307088668,0.440739707,666.7881193
40,325,398.7697181,20290.08107,62.39018223,26.19717551,3.570686482,12.47803645,18.71705467,0.611698899,0.030495074,0.019357788,0.011137286,20.05894123,4029025.389,4836765.173,3309365.645,1527399.528,0.1,0.2,0.3,0.3,1213937.174,15959.44127,2841.942128,2185.311504,973.2466822,800.948286,1573.317164,168.4816767,710.9629238,2816.618443,610.6398062,763.2997578,211.2205932,3720,24.23301002,1895.032962,606.9685871,639.2254066,0.307396154,0.440297978,667.4570745
41,350,398.7697181,20609.53483,58.84135126,25.44120406,3.480521041,11.76827025,17.65240538,0.65875266,0.033035213,0.020118598,0.012916615,19.94092344,4652133.501,5584794.119,4409047.989,1175746.13,0.1,0.1,0.3,0.2,1253503.999,16256.66836,2794.828575,2185.311504,917.8872033,813.4964549,1916.68809,163.8307454,671.6835109,2908.42274,632.8664714,791.0830893,214.6282234,3720,24.96034848,1899.834661,626.7519995,648.1206406,0.309057541,0.433307412,678.225186
42,280,398.7697181,20298.39024,72.44339316,28.22901565,3.813460112,14.48867863,21.73301795,0.527002128,0.026163372,0.017896738,0.008266634,20.14274527,3124638.734,3751066.908,2171670.315,1579396.593,0.5,0.2,0.3,0.4,1174206.495,15984.86161,3079.180648,2185.311504,1130.070301,801.2382603,1161.152753,180.9533073,822.2345582,2724.433965,593.5286263,741.9107829,215.3077777,3720,23.81059179,1897.043337,587.1032473,633.3232527,0.306924096,0.431939807,680.3725775
43,325,398.7697181,19885.02104,61.11993345,25.92912008,3.538704229,12.22398669,18.33598004,0.611698899,0.030628546,0.01949126,0.011137286,19.97152935,3946995.422,4738289.822,2743220.424,1995069.399,0.1,0.3,0.3,0.4,1154761.964,15555.81042,2756.595065,2185.311504,953.4316189,784.6408901,1445.663356,166.8332152,696.9034697,2679.318101,609.2106213,761.5132767,216.635299,3720,23.6003642,1893.527352,577.3809818,632.0688442,0.306345465,0.42929292,684.5675448
44,325,398.7697181,20108.91937,61.80147489,26.07328563,3.555903458,12.36029498,18.54044247,0.611698899,0.030556301,0.019419015,0.011137286,20.01874841,3991007.919,4791125.954,3278138.81,1512987.143,0.3,0.1,0.3,0.3,1168380.841,15775.10529,2802.022695,2185.311504,964.0632265,793.3904864,1559.319028,167.7198834,704.446953,2710.917084,613.8140842,767.2676052,217.4665492,3720,24.02931283,1896.163885,584.1904203,635.5663712,0.307089503,0.427651978,687.1942955
45,325,398.7697181,19846.276,61.00194161,25.90407994,3.535717244,12.20038832,18.30058248,0.611698899,0.030641205,0.019503919,0.011137286,19.96327824,3939375.76,4729142.569,2737924.645,1991217.924,0.1,0.4,0.1,0.4,1144416.002,15516.28495,2748.649183,2185.311504,951.5910221,783.1261168,1443.043472,166.6791876,695.5975044,2655.313049,609.9910488,762.488811,218.0279486,3720,23.55704917,1893.795329,572.2080012,631.2846485,0.306282849,0.426550819,688.9683175
46,325,398.7697181,19748.40658,60.7038256,25.8407059,3.52815796,12.14076512,18.21114768,0.611698899,0.030673393,0.019536107,0.011137286,19.94232943,3920124.061,4706031.286,2724544.429,1981486.857,0.3,0.2,0.3,0.4,1118083.135,15415.97009,2728.574913,2185.311504,946.9406042,779.298919,1436.42288,166.2893302,692.2978764,2594.214632,612.4364916,765.5456146,222.008086,3720,23.44705741,1894.689869,559.0415675,629.2938425,0.306149876,0.418903661,701.5455518
47,325,398.7697181,19710.21771,60.58747245,25.81592913,3.525202759,12.11749449,18.17624174,0.611698899,0.030686035,0.019548749,0.011137286,19.93411339,3912610.222,4697011.071,2719322.199,1977688.872,0.3,0.3,0.1,0.4,1107878.246,15377.01205,2720.765449,2185.311504,945.12557,777.8051835,1433.838413,166.1368997,691.0100486,2570.5369,613.2056608,766.5070759,223.381115,3720,23.40429808,1894.953891,553.9391229,628.5199454,0.30608803,0.416328838,705.8843235
48,300,398.7697181,19816.37555,65.98459431,26.94124231,3.659522163,13.19691886,19.79537829,0.564645137,0.028167046,0.018677288,0.009489758,20.04630304,3428775.314,4116176.847,2383049.754,1733127.094,0.1,0.4,0.3,0.4,1099246.827,15492.47694,2862.037996,2185.311504,1029.317197,781.9310921,1266.8127,173.053603,750.7468405,2550.509987,603.8986065,754.8732581,224.2860179,3720,23.38645548,1896.446143,549.6234133,626.8204292,0.30606289,0.41464912,708.7438167
49,300,398.7697181,20027.80042,66.68177552,27.08319646,3.67647983,13.3363551,20.00453266,0.564645137,0.028103136,0.018613377,0.009489758,20.09189099,3465003.13,4159667.623,2846088.374,1313579.249,0.1,0.3,0.3,0.3,1114852.676,15700.00108,2906.713424,2185.311504,1040.192775,790.1929795,1364.904819,173.9252061,758.4634292,2586.71921,607.7993383,759.7491729,224.7589003,3720,23.77748111,1898.7895,557.4263379,630.1740433,0.306753911,0.413776717,710.238125
50,300,398.7697181,19697.92892,65.59378952,26.86134183,3.649978647,13.1187579,19.67813686,0.564645137,0.028203419,0.018713661,0.009489758,20.02044967,3408467.819,4091798.102,2368935.743,1722862.359,0.3,0.3,0.3,0.4,1067806.12,15371.18879,2836.744139,2185.311504,1023.220894,777.2998942,1259.774713,172.5629226,746.4213084,2477.560187,606.7401241,758.4251551,228.9115401,3720,23.25422729,1897.438232,533.9030601,624.4289341,0.305893147,0.406270474,723.3604668
